Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits,Weight of fruit (g),Disease development time (days) (growing phase),Youngest leaf spotted (growing phase),Leaf emission rate (new leaves/week) (growing phase),Number of functional leaves (shooting),Number of functional leaves (harvest),Infection index at 6 months after planting,Infection index at shooting,Infection index at harvest
FHIA21,B,138,8/13/2002,11/5/2003,1/2/2004,280,57,98,15,7,92,147.8,NA,NA,0.444444444444444,12,5,19.047619047619,25,27.7777777777778
FHIA21,B,139,8/13/2002,9/10/2003,11/19/2003,243,55,122,15.4,7,94,145.9,43,3,0.6,13,5,3.33333333333333,29.4871794871795,43.3333333333333
FHIA21,B,140,8/13/2002,9/17/2003,12/3/2003,278,56,108,15.6,7,100,156,43,3,1.05555555555556,14,4,12.1212121212121,23.8095238095238,37.5
FHIA18,B,141,8/13/2002,8/6/2003,11/3/2003,205,44,170,11.6,7,98,108.1,113,14,0.916666666666667,16,4,8.33333333333333,13.3333333333333,30
FHIA18,B,142,8/13/2002,7/3/2003,10/15/2003,206,48,128,12.2,8,114,96.5,NA,NA,0.72,6,5,11.6666666666667,15.3846153846154,30
FHIA18,B,143,8/13/2002,7/3/2003,10/23/2003,236,51,125,15,8,118,110.2,NA,NA,0.8125,16,5,8.33333333333333,10,16.6666666666667
FHIA18,B,144,8/13/2002,10/15/2003,2/20/2004,273,60,216,13,8,103,166.5,NA,NA,1.02307692307692,13,5,10.6060606060606,21.7948717948718,23.3333333333333
FHIA18,B,145,8/13/2002,7/3/2003,10/15/2003,226,51,115,13,8,122,95,NA,NA,0.333333333333333,10,6,9.25925925925926,1.66666666666667,33.3333333333333
PITA16,B,146,8/13/2002,8/28/2003,11/5/2003,243,54,174,10.6,7,141,66.7,79.7692307692308,9.53846153846154,0.25,12,4,14.2857142857143,25,45.8333333333333
PITA16,B,147,8/13/2002,10/8/2003,1/7/2004,269,51,138,10.6,7,125,72,118.8,11.6,0.285714285714286,13,3,22.2222222222222,25,44.4444444444444
PITA16,B,148,8/13/2002,8/28/2003,11/5/2003,283,54,188,11.6,8,136,75,80.25,9.75,0.733333333333333,14,4,18.3333333333333,27.3809523809524,45.8333333333333
PITA16,B,149,8/13/2002,8/28/2003,11/27/2003,250,57,156,11.4,7,126,79.4,93.3333333333333,9.66666666666667,NA,13,3,16.6666666666667,24.3589743589744,50
PITA16,B,150,8/13/2002,8/17/2003,10/5/2003,233,56,186,9.8,6,105,80,112,16,NA,14,4,25,23.6111111111111,45.8333333333333
BITA3,B,151,8/13/2002,10/22/2003,1/6/2004,220,33,23,2.8,3,24,100,95.6666666666667,9.5,0.458333333333333,8,4,8.33333333333333,12.5,33.3333333333333
BITA3,B,152,8/13/2002,9/16/2003,11/19/2003,245,35,112,4.2,4,33,115.2,85.75,9,0.571428571428571,8,5,26.3888888888889,20.8333333333333,30
BITA3,B,153,8/13/2002,1/21/2004,3/11/2004,258,49,169,13.8,9,144,87.5,97.1666666666667,9.5,0.366013071895425,16,8,0,11.4583333333333,22.9166666666667
BITA3,B,154,8/13/2002,6/15/2003,9/16/2003,253,50,178,16.8,8,86,179,110,10.3333333333333,0.686274509803922,16,6,6.25,13.0952380952381,36.1111111111111
BITA3,B,155,8/13/2002,9/9/2003,11/19/2003,265,49,123,5.6,4,36,144.4,98.8888888888889,11.1111111111111,0.4375,16,6,5.55555555555556,12.5,30.5555555555556
