Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits,Weight of fruit (g),Disease development time (days) (growing phase),Youngest leaf spotted (growing phase),Leaf emission rate (new leaves/week) (growing phase),Number of functional leaves (shooting),Number of functional leaves (harvest),Infection index at 6 months after planting,Infection index at shooting,Infection index at harvest
BITA2,C,216,8/13/2002,9/2/2003,1/2/2004,285,55,150,14,6,76,168.4,114.333333333333,13.8333333333333,0.388888888888889,14,5,0,25,33.3333333333333
BITA2,C,217,8/13/2002,8/27/2003,1/7/2004,372,73,235,15,8,112,117.8,154.5,15,0.526315789473684,14,7,0,18.0555555555556,33.3333333333333
BITA2,C,218,8/13/2002,8/27/2003,11/13/2003,300,59,149,17.8,8,102,156.8,168,4,0.5,12,6,4.16666666666667,22.7272727272727,23.3333333333333
BITA2,C,219,8/13/2002,9/24/2003,1/7/2004,365,71,181,12.7,9,147,97,129.5,17,0.505154639175258,14,6,0,10.6060606060606,30.5555555555556
BITA2,C,220,8/13/2002,9/16/2003,1/7/2004,367,72,245,14,9,146,82.2,112,11,0.666666666666667,13,7,1.51515151515152,16.6666666666667,30.952380952381
SH3640,C,221,8/13/2002,9/18/2003,9/16/2003,248,54,135,17.2,6,71,219.7,109.5,13,0.212121212121212,15,5,4.54545454545455,30.7692307692308,43.3333333333333
SH3640,C,222,8/13/2002,6/1/2003,9/8/2003,237,49,135,14.2,8,101,138,107,13.6666666666667,0.222222222222222,15,5,13.8888888888889,18.1818181818182,43.3333333333333
SH3640,C,223,8/13/2002,6/15/2003,9/8/2003,245,51,139,16,8,104,138,87.5,9.5,0.7,16,4,10,26.9230769230769,41.6666666666667
SH3640,C,224,8/13/2002,6/17/2003,9/16/2003,258,52,160,16,8,96,150,88.6666666666667,11.3333333333333,0.857142857142857,16,5,5,29.4871794871795,41.6666666666667
SH3640,C,225,8/13/2002,7/16/2003,11/15/2003,278,51,172,15.4,8,106,130.1,77,10.3333333333333,0.6,16,4,5.55555555555556,22.7272727272727,41.6666666666667
FHIA03,C,226,8/13/2002,8/28/2003,11/27/2003,286,56,156,19.6,9,141,122.7,107,11.8571428571429,0.478260869565217,11,8,11.9047619047619,39.3939393939394,33.3333333333333
FHIA03,C,227,8/13/2002,7/16/2003,9/28/2003,227,44,95,NA,NA,NA,NA,132.666666666667,15,0.125,15,7,0,13.8888888888889,26.3888888888889
FHIA03,C,228,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA03,C,229,8/13/2002,8/6/2003,11/5/2003,259,88,140,14,9,148,81.1,90,12.75,0.526315789473684,15,4,0,19.047619047619,32.1428571428571
FHIA03,C,230,8/13/2002,8/6/2003,11/27/2003,289,55,160,21.2,9,148,125.7,105.5,11.6666666666667,0.620253164556962,15,5,0,19.2307692307692,29.1666666666667
YangambiKm5,C,231,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.433333333333333,NA,NA,0,NA,NA
YangambiKm5,C,232,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571428571428571,NA,NA,0,NA,NA
YangambiKm5,C,233,8/13/2002,3/31/2004,NA,301,51,182,NA,NA,NA,NA,NA,NA,0.526315789473684,6,NA,0,0,NA
YangambiKm5,C,234,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,6,0.125,NA,NA,0,NA,NA
YangambiKm5,C,235,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,9,0.5,NA,NA,0,NA,NA
Lakatan,C,236,8/13/2002,8/27/2003,12/25/2003,271,49,129,10.8,7,115,98.3,91,9.5,0.235294117647059,10,3,13.3333333333333,53.7037037037037,72.2222222222222
Lakatan,C,237,8/13/2002,7/17/2003,9/29/2003,276,49,156,11.2,6,92,97.8,85.75,9,0.590909090909091,11,4,8.33333333333333,45.4545454545455,72.2222222222222
Lakatan,C,238,8/13/2002,7/17/2003,9/29/2003,285,50,133,12.8,8,120,90,90.2,10.4,0.577319587628866,9,5,15.1515151515152,51.8518518518518,93.3333333333333
Lakatan,C,239,8/13/2002,8/27/2003,10/29/2003,286,64,125,9.8,8,98,87.8,87.4,10,0.368421052631579,11,3,10,60.6060606060606,100
Lakatan,C,240,8/13/2002,8/27/2003,11/5/2003,260,48,125,7.2,7,97,61.9,81.4,7.4,0.217391304347826,9,3,11.6666666666667,66.6666666666667,94.4444444444444
CRBP39,D,241,8/13/2002,12/9/2003,2/20/2004,255,47,110,8.4,7,74,102.7,NA,NA,0.577319587628866,16,7,2.38095238095238,14.8148148148148,33.3333333333333
CRBP39,D,242,8/13/2002,7/29/2003,11/4/2003,275,48,54,9.2,5,49,163.3,NA,NA,0.833333333333333,16,7,0,25,40.4761904761905
CRBP39,D,243,8/13/2002,7/8/2003,9/30/2003,279,50,96,11.2,7,85,117.6,NA,NA,0.555555555555556,15,8,4.16666666666667,16.6666666666667,39.5833333333333
CRBP39,D,244,8/13/2002,7/8/2003,9/30/2003,270,48,120,9,6,74,106.7,NA,NA,NA,13,9,1.66666666666667,12.1212121212121,33.3333333333333
CRBP39,D,245,8/13/2002,9/2/2003,12/9/2003,280,46,100,3.8,5,43,74.4,105,14,0.421052631578947,14,6,4.54545454545455,18.0555555555556,33.3333333333333
FHIA01,D,246,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,119,12.5,0.56,NA,NA,4.44444444444444,NA,NA
FHIA01,D,247,8/13/2002,7/15/2003,9/30/2003,266,59,146,21.4,9,131,145.8,129.5,13.5,0.368421052631579,16,5,3.84615384615385,15.2777777777778,36.6666666666667
FHIA01,D,248,8/13/2002,7/1/2003,10/21/2003,237,33,NA,20.4,9,122,149.2,140,16,1,16,5,4.16666666666667,11.1111111111111,36.6666666666667
FHIA01,D,249,8/13/2002,7/1/2003,10/21/2003,237,54,155,21.6,9,121,158.6,NA,NA,NA,16,4,4.16666666666667,11.1111111111111,27.7777777777778
FHIA01,D,250,8/13/2002,7/1/2003,10/21/2003,230,54,130,20.8,8,116,158.6,126,16,0.325581395348837,16,6,1.66666666666667,8.33333333333333,33.3333333333333
PITA16,D,251,8/13/2002,7/15/2003,10/14/2003,267,61,173,18.8,7,130,126.2,121.333333333333,14.3333333333333,0.307692307692308,15,5,5,23.0769230769231,40
PITA16,D,252,8/13/2002,7/15/2003,10/14/2003,247,62,102,20,8,199,85.4,123.666666666667,15.3333333333333,0.6,16,4,7.69230769230769,23.8095238095238,33.3333333333333
PITA16,D,253,8/13/2002,7/8/2003,9/30/2003,235,59,100,18.6,8,153,107.1,110.5,12,0.590909090909091,16,5,3.84615384615385,17.9487179487179,40
PITA16,D,254,8/13/2002,8/12/2003,11/5/2003,249,58,136,14.3,7,138,90.6,117.5,12.25,0.288659793814433,15,1,6.41025641025641,26.9230769230769,50
PITA16,D,255,8/13/2002,8/19/2003,11/5/2003,253,57,129,16.4,8,162,90.1,105,11.4,0.545454545454545,15,3,11.9047619047619,28.2051282051282,50
FHIA18,D,256,8/13/2002,7/15/2003,9/26/2003,243,55,116,9.2,7,110,65.1,126,12,NA,16,10,0,15.2777777777778,23.3333333333333
FHIA18,D,257,8/13/2002,6/25/2003,9/19/2003,238,55,145,15.6,8,116,122.4,129.5,14.5,0.75,16,8,3.33333333333333,5,27.0833333333333
FHIA18,D,258,8/13/2002,12/15/2003,2/27/2004,250,59,98,14.6,8,116,122,133,12,NA,16,7,0,19.2307692307692,NA
FHIA18,D,259,8/13/2002,6/11/2003,9/25/2003,223,49,107,13.6,7,110,65,NA,NA,0.666666666666667,15,8,0,6.94444444444444,22.9166666666667
FHIA18,D,260,8/13/2002,9/25/2003,3/6/2004,276,68,162,15.8,8,116,122.5,112,14,0.833333333333333,14,4,0,26.0416666666667,25
YangambiKm5,D,261,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,0,NA,NA
YangambiKm5,D,262,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.321428571428571,NA,NA,0,NA,NA
YangambiKm5,D,263,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265822784810127,NA,NA,0,NA,NA
YangambiKm5,D,264,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.596590909090909,NA,NA,0,NA,NA
YangambiKm5,D,265,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.571428571428571,NA,NA,0,NA,NA
PisangCeylan,D,266,8/13/2002,7/6/2003,8/12/2003,270,47,200,16.4,11,171,83,119,11,0.75,12,8,13.6363636363636,14.1025641025641,23.8095238095238
PisangCeylan,D,267,8/13/2002,6/11/2003,9/18/2003,250,47,129,17.2,10,198,78,182,15.6666666666667,0.2,10,9,4.54545454545455,13.6363636363636,24.0740740740741
PisangCeylan,D,268,8/13/2002,7/13/2003,9/8/2003,274,46,65,17.2,10,158,100,128.166666666667,14.1666666666667,0.470588235294118,12,9,6.06060606060606,23.0769230769231,30
PisangCeylan,D,269,8/13/2002,6/15/2003,9/8/2003,227,50,130,18.2,11,184,92,136.5,13.8333333333333,0.111111111111111,16,11,3.33333333333333,20.2380952380952,27.7777777777778
PisangCeylan,D,270,8/13/2002,6/22/2003,9/8/2003,283,51,150,18.6,10,176,95,128.333333333333,15,0.454545454545455,14,7,6.66666666666667,19.047619047619,25.9259259259259
SH3640,D,271,8/13/2002,5/18/2003,9/8/2003,246,54,120,16,8,104,138,113.75,13.25,0.833333333333333,15,5,0,24.2424242424242,41.6666666666667
SH3640,D,272,8/13/2002,3/20/2003,9/8/2003,220,50,141,17,8,96,164,100.666666666667,11.3333333333333,0.75,15,6,6.06060606060606,13.6363636363636,38.8888888888889
SH3640,D,273,8/13/2002,3/20/2003,9/16/2003,238,59,134,17,8,99,159.5,119.2,14.8,0.533333333333333,16,5,13.8888888888889,19.2307692307692,40
SH3640,D,274,8/13/2002,7/6/2003,9/29/2003,224,51,112,17,7,94,157.4,84,9,0.608695652173913,16,6,13.6363636363636,44.4444444444444,38.8888888888889
SH3640,D,275,8/13/2002,6/15/2003,9/16/2003,247,57,135,17.8,8,105,153.3,129.5,15.5,1,16,8,3.33333333333333,23.0769230769231,45.2380952380952
FHIA02,D,276,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,0,NA,NA
FHIA02,D,277,8/13/2002,4/7/2003,10/15/2003,248,53,109,18.6,9,119,136.1,NA,NA,0.647058823529412,15,11,0,0,22.2222222222222
FHIA02,D,278,8/13/2002,6/10/2003,9/18/2003,212,43,116,13.6,10,140,83.68,NA,NA,0.155555555555556,14,12,0,5.55555555555556,35.4166666666667
FHIA02,D,279,8/13/2002,6/3/2003,9/30/2003,228,45,140,12.5,10,121,97.3,NA,NA,0.363636363636364,16,10,0,15.625,35
FHIA02,D,280,8/13/2002,8/24/2003,11/13/2003,225,48,138,10.8,9,112,86.9,NA,NA,0.5,18,7,0,17.7777777777778,23.3333333333333
Cardaba,D,281,8/13/2002,10/5/2003,2/21/2004,368,75,214,NA,NA,NA,NA,105,12.5,0.444444444444444,16,NA,2.38095238095238,10.4166666666667,10
Cardaba,D,282,8/13/2002,10/5/2003,2/21/2004,332,71,212,12,8,119,90.75,133,14.3333333333333,0.5,14,5,0,7.69230769230769,16.6666666666667
Cardaba,D,283,8/13/2002,11/5/2003,2/21/2004,300,70,155,NA,NA,NA,NA,126,11,0.529411764705882,11,NA,4.76190476190476,13.6363636363636,10
Cardaba,D,284,8/13/2002,12/24/2003,NA,286,68,158,NA,NA,NA,NA,110.6,10.8,0.0777777777777778,NA,NA,3.33333333333333,12.5,11.1111111111111
Cardaba,D,285,8/13/2002,10/11/2003,1/23/2004,378,70,182,20.2,9,153,112.4,112,8,0.7,14,9,0,7.69230769230769,10.4166666666667
Lakatan,D,286,8/13/2002,7/31/2003,11/19/2003,255,49,159,11,7,117,83.8,89.1,10.1,0.333333333333333,11,4,5.55555555555556,56.0606060606061,66.6666666666667
Lakatan,D,287,8/13/2002,9/2/2003,11/19/2003,292,49,83,10,7,114,80.8,95.2,11,0.771186440677966,11,4,6.66666666666667,58.3333333333333,83.3333333333333
Lakatan,D,288,8/13/2002,9/9/2003,11/19/2003,243,44,136,9,7,111,70.3,86.2,8.3,0.285714285714286,8,4,9.25925925925926,52.0833333333333,75
Lakatan,D,289,8/13/2002,9/16/2003,11/19/2003,270,45,130,9.4,7,111,72.1,86,11.2857142857143,0.276315789473684,8,4,8.33333333333333,35.4166666666667,70.8333333333333
Lakatan,D,290,8/13/2002,9/24/2003,12/2/2003,264,46,74,9.8,7,109,73.4,92.2857142857143,10.7142857142857,0.594771241830065,8,4,8.33333333333333,39.5833333333333,79.1666666666667
FHIA03,D,291,8/13/2002,7/24/2003,10/1/2003,280,63,97,22.8,8,138,137.6,NA,NA,0.777777777777778,16,7,33.3333333333333,25.6410256410256,21.4285714285714
FHIA03,D,292,8/13/2002,12/13/2003,NA,292,65,125,NA,NA,NA,NA,149,10.6666666666667,0.5,10,NA,6.25,21.2121212121212,NA
FHIA03,D,293,8/13/2002,7/24/2003,10/1/2003,289,63,119,21.2,9,147,115,119,14,0.588235294117647,16,9,0,32.1428571428571,14.5833333333333
FHIA03,D,294,8/13/2002,6/25/2003,10/10/2003,280,61,153,19.2,9,153,102,98,12,0.625,16,10,6.06060606060606,27.3809523809524,25
FHIA03,D,295,8/13/2002,7/16/2003,10/1/2003,289,63,177,23,10,171,120.4,105,9.5,0.311111111111111,16,6,5.12820512820513,34.5238095238095,25
FHIA25,D,296,8/13/2002,10/1/2003,12/13/2003,295,75,79,34,14,269,111.5,NA,NA,0.288659793814433,14,10,7.69230769230769,16.6666666666667,36.6666666666667
FHIA25,D,297,8/13/2002,8/26/2003,10/13/2003,286,75,189,33.8,13,239,124.6,NA,NA,0.4,16,12,9.09090909090909,25,37.5
FHIA25,D,298,8/13/2002,11/5/2003,1/21/2004,288,78,110,36,12,229,148.5,NA,NA,0.352941176470588,13,5,15.3846153846154,23.6111111111111,30
FHIA25,D,299,8/13/2002,8/19/2003,11/5/2003,286,76,134,37,13,231,134.2,133,15,0.55,13,10,9.72222222222222,25.6410256410256,30
FHIA25,D,300,8/13/2002,9/16/2003,11/5/2003,280,76,115,35,12,226,146,115,14.5,0.352941176470588,16,10,9.09090909090909,26.0416666666667,28.3333333333333
PisangJariBuaya,D,301,8/13/2002,8/5/2003,10/29/2003,270,31,100,6,6,84,NA,78.3333333333333,9.75,0.455621301775148,10,1,18.1818181818182,33.3333333333333,66.6666666666667
PisangJariBuaya,D,302,8/13/2002,7/1/2003,10/15/2003,250,31,130,6,5,88,56.8,77.875,8.5,0.583333333333333,10,1,15.2777777777778,40.4761904761905,66.6666666666667
PisangJariBuaya,D,303,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangJariBuaya,D,304,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.8,7.8,1,NA,NA,0,NA,NA
PisangJariBuaya,D,305,8/13/2002,7/15/2003,10/22/2003,210,29,119,3.8,7,91,39.6,96.5,13.25,0.5,7,1,8.33333333333333,35.7142857142857,66.6666666666667
BITA3,D,306,8/13/2002,8/5/2003,11/5/2003,270,42,100,13.2,7,98,124.9,123,13,0.552631578947368,15,6,0,16.6666666666667,33.3333333333333
BITA3,D,307,8/13/2002,7/6/2003,9/30/2003,294,57,190,15.4,5,58,NA,112,9.5,0.55,16,7,0,14.1025641025641,33.3333333333333
BITA3,D,308,8/13/2002,9/16/2003,NA,251,50,107,11,7,84,116.6,105.333333333333,11,0.5625,11,6,1.66666666666667,17.8571428571429,33.3333333333333
BITA3,D,309,8/13/2002,8/19/2003,10/5/2003,256,49,160,10,6,73,123.3,114,12.3333333333333,0.52027027027027,10,5,0,21.6666666666667,30
BITA3,D,310,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,9,0.571428571428571,NA,NA,0,NA,NA
BITA2,D,311,8/13/2002,8/5/2003,11/19/2003,363,76,200,19,8,123,130.2,126,17,0.416666666666667,16,8,1.51515151515152,4.16666666666667,31.25
BITA2,D,312,8/13/2002,7/26/2003,10/27/2003,336,53,129,16.8,8,129,110.1,NA,NA,NA,16,10,1.66666666666667,13.0952380952381,30
BITA2,D,313,8/13/2002,9/2/2003,NA,345,70,197,NA,NA,NA,NA,NA,NA,NA,16,NA,5,23.0769230769231,NA
BITA2,D,314,8/13/2002,8/27/2003,12/2/2003,363,76,198,14.2,8,132,99,112,11,0.555555555555556,15,6,0,5.55555555555556,33.3333333333333
BITA2,D,315,8/13/2002,7/21/2003,9/29/2003,269,49,156,13.6,7,73,165.7,144.666666666667,12.3333333333333,0.478260869565217,13,7,3.7037037037037,14.1025641025641,30.5555555555556
FHIA21,D,316,8/13/2002,7/24/2003,10/1/2003,280,63,97,22.8,8,138,137.6,133,14,0.583333333333333,16,7,0,25.7575757575758,30.5555555555556
FHIA21,D,317,8/13/2002,12/13/2003,NA,292,65,125,NA,NA,NA,NA,133,13,0.461538461538462,10,NA,1.85185185185185,29.7619047619048,36.1111111111111
FHIA21,D,318,8/13/2002,7/24/2003,10/1/2003,289,63,119,21.2,9,147,115,135.6,14.4,0.590909090909091,16,9,3.7037037037037,22.2222222222222,40
FHIA21,D,319,8/13/2002,6/25/2003,10/10/2003,280,61,153,19.2,9,153,102,119,12.5,0.592592592592593,16,10,0,24.2424242424242,36.6666666666667
FHIA21,D,320,8/13/2002,7/16/2003,10/1/2003,289,63,177,23,10,171,120.4,NA,NA,0.577319587628866,16,6,0,19.6969696969697,33.3333333333333
FHIA01,E,321,8/13/2002,8/19/2003,12/9/2003,231,53,180,21.8,9,123,148,NA,NA,0.5,16,6,2.38095238095238,19.6969696969697,33.3333333333333
FHIA01,E,322,8/13/2002,10/14/2003,1/6/2004,263,48,185,10.4,6,72,127.8,143.5,14.5,0.555555555555556,13,8,3.03030303030303,12.1212121212121,31.25
FHIA01,E,323,8/13/2002,8/12/2003,11/12/2003,224,54,99,17.4,6,89,177.5,140,14,0.375,16,9,0,13.0952380952381,25.9259259259259
FHIA01,E,324,8/13/2002,7/29/2003,10/20/2003,237,51,44,15.2,7,89,198.3,136.5,14.5,0.529411764705882,16,7,3.7037037037037,16.6666666666667,28.5714285714286
FHIA01,E,325,8/13/2002,10/21/2003,1/28/2004,236,53,109,14.8,7,110,136,NA,NA,0.333333333333333,16,8,0,15.4761904761905,37.5
CRBP39,E,326,8/13/2002,9/16/2003,1/6/2004,271,51,40,11.8,6,74,143.2,NA,NA,0.473684210526316,16,7,0,23.6111111111111,38.0952380952381
CRBP39,E,327,8/13/2002,9/2/2003,10/22/2003,282,45,105,3.4,4,37,70.3,147,14,0.144329896907216,14,6,4.54545454545455,22.2222222222222,33.3333333333333
CRBP39,E,328,8/13/2002,8/5/2003,11/13/2003,255,47,102,12.2,6,73,150.7,140,15,0.428571428571429,14,7,0,27.7777777777778,38.0952380952381
CRBP39,E,329,8/13/2002,8/19/2003,12/16/2003,274,51,125,9.2,7,82,104.9,122.5,11.5,0.588235294117647,16,8,5.55555555555556,23.8095238095238,38.0952380952381
CRBP39,E,330,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338709677419355,NA,NA,0,NA,NA
FHIA18,E,331,8/13/2002,6/15/2003,10/1/2003,223,51,148,15.6,8,115,120,133,16,0.647058823529412,15,11,0,13.6363636363636,31.8181818181818
FHIA18,E,332,8/13/2002,7/2/2003,10/1/2003,204,44,127,9.8,6,79,108.8,NA,NA,0.866666666666667,14,12,1.66666666666667,20,25
FHIA18,E,333,8/13/2002,9/3/2003,1/7/2004,289,59,135,13.2,7,107,108.4,97,16,0.608695652173913,6,12,0,25,24.2424242424242
FHIA18,E,334,8/13/2002,6/25/2003,10/1/2003,212,51,123,8,7,105,66.7,126,18.5,0.4,16,13,1.51515151515152,20.2380952380952,30.7692307692308
FHIA18,E,335,8/13/2002,12/10/2003,1/24/2004,235,65,107,8,7,98,75.5,NA,NA,NA,14,5,0,19.047619047619,NA
Lakatan,E,336,8/13/2002,7/29/2003,11/4/2003,279,43,120,10.2,7,113,74.3,78.5,8.5,0.7,10,4,15,26.6666666666667,75
Lakatan,E,337,8/13/2002,8/5/2003,9/30/2003,276,47,152,10.4,7,103,79.6,82.125,9.5,0.611111111111111,11,3,8.33333333333333,33.3333333333333,77.7777777777778
Lakatan,E,338,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.8,9.6,0.576923076923077,NA,NA,12.5,NA,NA
Lakatan,E,339,8/13/2002,9/1/2003,11/13/2003,289,49,100,10.4,7,119,73.9,76,9,0.636363636363636,12,5,13.8888888888889,31.6666666666667,75
Lakatan,E,340,8/13/2002,8/19/2003,9/30/2003,255,46,115,9.4,6,95,75.7,78,9.125,0.384615384615385,8,0,11.6666666666667,42.8571428571429,NA
BITA3,E,341,8/13/2002,7/22/2003,11/5/2003,259,43,100,8.4,5,48,154.2,NA,NA,0.318181818181818,12,6,12.5,21.7948717948718,36.6666666666667
BITA3,E,342,8/13/2002,7/22/2003,11/5/2003,245,39,125,10,6,70,128.5,101.5,10.5,0.526315789473684,11,5,5.55555555555556,19.047619047619,26.6666666666667
BITA3,E,343,8/13/2002,6/29/2003,12/25/2003,206,54,60,6.4,5,48,NA,105,12.5,0.194444444444444,13,5,5,19.4444444444444,26.6666666666667
BITA3,E,344,8/13/2002,11/15/2003,2/4/2004,270,46,60,15,8,79,172.2,119,10,0.375,11,4,5.55555555555556,30.3030303030303,36.6666666666667
BITA3,E,345,8/13/2002,5/6/2003,8/12/2003,226,56,165,18.6,7,95,176,NA,NA,NA,12,10,7.40740740740741,15,25
FHIA21,E,346,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.5,15,0.538461538461538,NA,NA,0,22.7272727272727,41.6666666666667
FHIA21,E,347,8/13/2002,9/25/2003,12/17/2003,279,62,90,20,9,146,135.6,134,14.5714285714286,0.25,14,6,1.66666666666667,19.047619047619,28.5714285714286
FHIA21,E,348,8/13/2002,9/10/2003,12/17/2003,273,64,100,23,7,132,151.5,NA,NA,0.360824742268041,15,5,1.51515151515152,21.4285714285714,36.6666666666667
FHIA21,E,349,8/13/2002,10/15/2003,12/8/2003,282,58,70,9,6,68,117.6,140,14.5,0.360824742268041,14,9,0,20.8333333333333,38.8888888888889
FHIA21,E,350,8/13/2002,7/9/2003,10/15/2003,283,61,146,24.4,8,127,168.5,59.5,7,0.266666666666667,16,10,0,26.0416666666667,37.5
PITA16,E,351,8/13/2002,7/15/2003,10/22/2003,230,50,139,11,6,75,128,84,8,NA,8,4,3.33333333333333,11.9047619047619,45.8333333333333
PITA16,E,352,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,7.5,0.315789473684211,NA,NA,0,NA,NA
PITA16,E,353,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
PITA16,E,354,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.40740740740741,NA,NA
PITA16,E,355,8/13/2002,9/7/2003,12/24/2003,269,59,150,10,6,90,100,133,10.5,0.333333333333333,13,7,0,16.6666666666667,26.1904761904762
Cardaba,E,356,8/13/2002,9/25/2003,2/21/2004,374,79,200,13,6,102,107.8,101.5,10,0.588235294117647,14,9,0,9.52380952380952,12.962962962963
Cardaba,E,357,8/13/2002,12/24/2003,4/3/2004,368,75,120,9,7,88,91,112,8,0.25,16,7,0,15.4761904761905,NA
Cardaba,E,358,8/13/2002,1/1/2004,4/3/2004,404,74,192,10,6,83,108.4,NA,NA,0.297872340425532,11,5,0,14.2857142857143,NA
Cardaba,E,359,8/13/2002,10/22/2003,1/29/2004,385,76,198,12,7,120,91.6,NA,NA,0.25,11,5,0,14.2857142857143,14.5833333333333
Cardaba,E,360,8/13/2002,10/15/2003,1/29/2004,244,78,222,11.2,6,119,84,105,9,0.0555555555555556,13,5,0,12.5,18.5185185185185
FHIA02,E,361,8/13/2002,5/24/2003,9/8/2003,238,48,153,15.4,10,150,96,NA,NA,0.285714285714286,15,10,0,3.57142857142857,31.25
FHIA02,E,362,8/13/2002,9/15/2003,11/13/2003,235,45,108,12.2,8,108,100,NA,NA,0.363636363636364,16,9,0,6.06060606060606,35.4166666666667
FHIA02,E,363,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210526315789474,NA,NA,0,NA,NA
FHIA02,E,364,8/13/2002,9/9/2003,12/17/2003,224,37,42,4.8,6,60,73.3,140,12,0.388888888888889,12,9,0,13.8888888888889,31.25
FHIA02,E,365,8/13/2002,9/9/2003,12/17/2003,235,40,98,8.2,7,92,78.3,133,9,0.285714285714286,12,7,0,18.3333333333333,33.3333333333333
FHIA03,E,366,8/13/2002,7/9/2003,10/15/2003,283,61,146,24.4,8,127,168.5,122,14,0.526315789473684,16,10,5.55555555555556,13.8888888888889,28.3333333333333
FHIA03,E,367,8/13/2002,10/15/2003,12/8/2003,283,58,70,9,6,68,117.6,112.428571428571,10.4285714285714,0.478260869565217,14,9,3.33333333333333,20.2380952380952,27.0833333333333
FHIA03,E,368,8/13/2002,9/10/2003,12/17/2003,273,64,100,23,7,132,151.5,87.25,10.25,0.0769230769230769,15,5,3.7037037037037,31.1111111111111,23.3333333333333
FHIA03,E,369,8/13/2002,9/25/2003,12/17/2003,279,62,90,20,9,146,135.6,91.3333333333333,11.3333333333333,0.432989690721649,14,6,0,25,22.2222222222222
FHIA03,E,370,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,94.6,9.3,0.347826086956522,NA,NA,0,NA,NA
PisangCeylan,E,371,8/13/2002,6/29/2003,9/18/2003,273,49,149,18,11,182,89,126.428571428571,14.2857142857143,0.328125,16,7,7.40740740740741,16.6666666666667,21.4285714285714
PisangCeylan,E,372,8/13/2002,6/22/2003,9/8/2003,284,45,120,16.6,11,164,86,129.5,11.5,0.352941176470588,16,11,3.7037037037037,17.8571428571429,27.2727272727273
PisangCeylan,E,373,8/13/2002,6/29/2003,9/8/2003,289,48,133,17.2,10,158,100,137.4,13.6,0.294117647058824,15,9,3.33333333333333,13.3333333333333,31.4814814814815
PisangCeylan,E,374,8/13/2002,6/1/2003,8/12/2003,265,47,143,17.2,10,159,89,NA,NA,0.259259259259259,15,10,5,15.2777777777778,35
PisangCeylan,E,375,8/13/2002,6/15/2003,9/8/2003,283,50,134,17.2,10,174,93,116.666666666667,12,NA,16,9,6.66666666666667,14.2857142857143,20.8333333333333
FHIA25,E,376,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,10.5,0.176470588235294,NA,NA,7.14285714285714,NA,NA
FHIA25,E,377,8/13/2002,1/21/2004,3/3/2004,296,76,125,36,14,254,132.3,136.5,12.5,0.333333333333333,16,10,12.962962962963,19.7916666666667,25
FHIA25,E,378,8/13/2002,9/8/2003,2/13/2004,253,69,104,27,11,193,126.4,140,14,0.5,16,12,7.40740740740741,30.2083333333333,34.7222222222222
FHIA25,E,379,8/13/2002,1/21/2004,3/3/2004,301,79,168,34,13,258,124,NA,NA,0.230769230769231,13,9,0,18.75,20.8333333333333
FHIA25,E,380,8/13/2002,1/21/2004,3/3/2004,299,76,150,38,14,275,130.9,NA,NA,0.451612903225806,16,9,1.85185185185185,9.375,20.3703703703704
