,lat,lon,pdate,end_date,eval_time,eval_time_months,blsd_metric,blsd_moment,cycle
Mb_fp_4,-0.933333,30.61666667,5/15/2016,12/12/2017,576.1313777,19,NSL,harvest,mother
Mb_rt1_1,-0.933333,30.61666667,12/13/2017,6/15/2018,184.7235347,6,NSL,harvest,ratoon
Mb_rt1_2,-0.933333,30.61666667,1/7/2018,6/18/2018,162.0682891,5,NSL,harvest,ratoon
Mb_rt1_3,-0.933333,30.61666667,12/30/2017,6/26/2018,177.7273323,6,NSL,harvest,ratoon
Mb_rt1_4,-0.933333,30.61666667,12/12/2017,7/2/2018,202.4196791,7,NSL,harvest,ratoon
Mb_rt2_1,-0.933333,30.61666667,6/15/2018,2/8/2019,237.7939858,8,NSL,harvest,ratoon
Mb_rt2_2,-0.933333,30.61666667,6/18/2018,2/2/2019,228.6194778,8,NSL,harvest,ratoon
Mb_rt2_3,-0.933333,30.61666667,6/26/2018,1/20/2019,207.9249023,7,NSL,harvest,ratoon
Mb_rt2_4,-0.933333,30.61666667,7/2/2018,2/7/2019,220.2269194,7,NSL,harvest,ratoon
Mt_fp_1,-8.5,33,4/9/2016,1/24/2018,655.6717391,22,DI,harvest,mother
Mt_fp_2,-8.5,33,4/9/2016,1/7/2018,638.9057971,21,DI,harvest,mother
Mt_fp_3,-8.5,33,4/9/2016,1/18/2018,649.8242064,22,DI,harvest,mother
Mt_fp_4,-8.5,33,4/9/2016,12/19/2017,619.3422045,21,DI,harvest,mother
Mt_rt1_1,-8.5,33,1/24/2018,9/6/2018,224.8031977,7,DI,harvest,ratoon
Mt_rt1_2,-8.5,33,1/7/2018,8/3/2018,207.7379337,7,DI,harvest,ratoon
Mt_rt1_3,-8.5,33,1/18/2018,8/25/2018,218.8502328,7,DI,harvest,ratoon
Mt_rt1_4,-8.5,33,12/19/2017,6/13/2018,176.622362,6,DI,harvest,ratoon
Mt_rt2_1,-8.5,33,9/6/2018,2/26/2019,172.8194276,6,DI,harvest,ratoon
Mt_rt2_2,-8.5,33,8/3/2018,2/15/2019,195.387638,7,DI,harvest,ratoon
Mt_rt2_3,-8.5,33,8/25/2018,1/14/2019,141.579534,5,DI,harvest,ratoon
Mt_rt2_4,-8.5,33,6/13/2018,12/18/2018,187.8425223,6,DI,harvest,ratoon
Ma_fp_1,-1.333333,31.5,4/7/2016,2/24/2018,688.25,23,DI,harvest,mother
Ma_fp_2,-1.333333,31.5,4/7/2016,3/2/2018,694.0166667,23,DI,harvest,mother
Ma_fp_3,-1.333333,31.5,4/7/2016,11/27/2017,599.1785714,20,DI,harvest,mother
Ma_fp_4,-1.333333,31.5,4/7/2016,11/4/2017,576.923499,19,DI,harvest,mother
Ma_rt1_1,-1.333333,31.5,2/24/2018,8/24/2018,181.5625,6,DI,harvest,ratoon
Ma_rt1_2,-1.333333,31.5,3/2/2018,10/21/2018,233.2833333,8,DI,harvest,ratoon
Ma_rt1_3,-1.333333,31.5,11/27/2017,6/22/2018,206.8214286,7,DI,harvest,ratoon
Ma_rt1_4,-1.333333,31.5,11/4/2017,6/24/2018,231.2753314,8,DI,harvest,ratoon
Ma_rt2_1,-1.333333,31.5,8/24/2018,4/9/2019,227.8125,8,DI,harvest,ratoon
Ma_rt2_2,-1.333333,31.5,10/21/2018,5/6/2019,197.4333334,7,DI,harvest,ratoon
Ma_rt2_4,-1.333333,31.5,6/24/2018,12/25/2018,183.8567251,6,DI,harvest,ratoon
Ma_rt3_4,-1.333333,31.5,12/25/2018,4/6/2019,102.6736111,3,DI,harvest,ratoon
Ta_fp_1,-3.24372,37.24647,4/14/2016,12/4/2017,599.3154762,20,NSL,harvest,mother
Ta_fp_2,-3.24372,37.24647,4/14/2016,11/11/2017,576.4506803,19,NSL,harvest,mother
Ta_fp_3,-3.24372,37.24647,4/14/2016,11/26/2017,591.5664502,20,NSL,harvest,mother
Ta_fp_4,-3.24372,37.24647,4/14/2016,11/16/2017,581.3787864,19,NSL,harvest,mother
Ta_rt1_1,-3.24372,37.24647,12/4/2017,7/26/2018,234.5299783,8,NSL,harvest,ratoon
Ta_rt1_2,-3.24372,37.24647,11/11/2017,7/10/2018,240.8045829,8,NSL,harvest,ratoon
Ta_rt1_3,-3.24372,37.24647,11/26/2017,8/26/2018,272.6418749,9,NSL,harvest,ratoon
Ta_rt1_4,-3.24372,37.24647,11/16/2017,7/17/2018,242.8756779,8,NSL,harvest,ratoon
Ta_rt2_1,-3.24372,37.24647,7/26/2018,2/7/2019,195.8334344,7,NSL,harvest,ratoon
Ta_rt2_2,-3.24372,37.24647,7/10/2018,12/10/2018,153.3456141,5,NSL,harvest,ratoon
Ta_rt2_3,-3.24372,37.24647,8/26/2018,12/26/2018,122.0399205,4,NSL,harvest,ratoon
Ta_rt2_4,-3.24372,37.24647,7/17/2018,1/18/2019,185.0328373,6,NSL,harvest,ratoon
