Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
FHIA17,B,7,FHIA17B7,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,8,FHIA17B8,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,9,FHIA17B9,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,B,10,FHIA17B10,ratoon,NA,NA,NA,NA,NA,NA,50.4137931,14.5,NA,3.053448276,NA,6,NA,NA,
FHIA17,C,1,FHIA17C1,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,2,FHIA17C2,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,3,FHIA17C3,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,4,FHIA17C4,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,5,FHIA17C5,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,6,FHIA17C6,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,7,FHIA17C7,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,8,FHIA17C8,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,9,FHIA17C9,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,C,10,FHIA17C10,ratoon,NA,NA,NA,410,134.5,NA,62.72571429,17.5,NA,3.311428571,8.5,5,NA,NA,
FHIA17,D,1,FHIA17D1,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,2,FHIA17D2,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,3,FHIA17D3,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,4,FHIA17D4,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,5,FHIA17D5,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,6,FHIA17D6,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,7,FHIA17D7,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,8,FHIA17D8,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,9,FHIA17D9,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
FHIA17,D,10,FHIA17D10,ratoon,NA,NA,NA,490,128.5,NA,55.02659574,15.66666667,NA,3.259574468,8.5,7.666666667,NA,NA,
Cachaco,A,1,CachacoA1,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,2,CachacoA2,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,3,CachacoA3,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,4,CachacoA4,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,5,CachacoA5,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,6,CachacoA6,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,7,CachacoA7,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,8,CachacoA8,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,9,CachacoA9,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,A,10,CachacoA10,ratoon,NA,NA,NA,450,73.8,NA,10.98333333,5,NA,2,3.8,2.333333333,NA,NA,
Cachaco,B,1,CachacoB1,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,2,CachacoB2,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,3,CachacoB3,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,4,CachacoB4,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,5,CachacoB5,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,6,CachacoB6,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,7,CachacoB7,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,8,CachacoB8,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,9,CachacoB9,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,B,10,CachacoB10,ratoon,NA,NA,NA,455,76.8,NA,NA,NA,NA,NA,5,NA,NA,NA,
Cachaco,C,1,CachacoC1,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,2,CachacoC2,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,3,CachacoC3,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,4,CachacoC4,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,5,CachacoC5,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,6,CachacoC6,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
