Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
PITA16,C,5,PITA16C5,mother,1/4/2002,8/27/2002,12/28/2002,340,110,244,30.05,8,168,26.65,7,0,63,7.195555556,
PITA16,C,6,PITA16C6,mother,1/4/2002,9/10/2002,1/29/2003,380,96,308,18.4,10,192,16.4,8,0,39,7.195555556,
PITA16,C,7,PITA16C7,mother,1/4/2002,12/17/2002,NA,315,94,208,NA,NA,NA,NA,8,NA,37,7.195555556,
PITA16,C,8,PITA16C8,mother,1/4/2002,9/30/2002,3/10/2003,403,75,296,10.9,5,82,8.1,8,0,41,7.195555556,
PITA16,C,9,PITA16C9,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,7.195555556,
PITA16,C,10,PITA16C10,mother,1/4/2002,9/19/2002,1/29/2003,281,87,211,13.2,9,136,11.4,8,5,50,7.195555556,
PITA16,D,1,PITA16D1,mother,1/4/2002,12/6/2002,3/1/2003,335,111,162,30,12,221,25.4,12,3,75,8.58,
PITA16,D,2,PITA16D2,mother,1/4/2002,12/31/2002,4/5/2003,334,114,90,27.1,11,198,23.8,11,5,60,8.58,
PITA16,D,3,PITA16D3,mother,1/4/2002,1/8/2003,4/5/2003,349,118,89,27.9,12,194,24.4,13,5,75,8.58,
PITA16,D,4,PITA16D4,mother,1/4/2002,12/5/2002,3/1/2003,366,120,100,30.85,11,200,26.25,12,3,67,8.58,
PITA16,D,5,PITA16D5,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,8.58,
PITA16,D,6,PITA16D6,mother,1/4/2002,10/14/2002,12/27/2002,329,116,156,31.5,9,180,29,13,3,51,8.58,
PITA16,D,7,PITA16D7,mother,1/4/2002,1/5/2003,NA,320,117,160,NA,NA,NA,NA,12,NA,78,8.58,
PITA16,D,8,PITA16D8,mother,1/4/2002,11/28/2002,3/1/2003,325,111,126,21.15,11,188,17.65,14,3,48,8.58,
PITA16,D,9,PITA16D9,mother,1/4/2002,10/29/2002,2/8/2003,334,120,158,31.4,10,216,29,14,3,0,8.58,
PITA16,D,10,PITA16D10,mother,1/4/2002,12/18/2002,NA,339,118,65,23.85,11,192,20.4,13,5,42,8.58,
FHIA17,A,1,FHIA17A1,mother,1/4/2002,9/19/2002,12/23/2002,311,107,206,40.45,13,211,36.55,13,6,56,10.07428571,
FHIA17,A,2,FHIA17A2,mother,1/4/2002,9/21/2002,1/3/2003,365,110,138,52.5,13,213,47.3,11,6,71,10.07428571,
FHIA17,A,3,FHIA17A3,mother,1/4/2002,8/31/2002,12/23/2002,359,111,168,48.4,13,214,44.7,12,5,71,10.07428571,
FHIA17,A,4,FHIA17A4,mother,1/4/2002,9/14/2002,1/3/2003,375,113,153,55.25,13,216,49.2,12,5,31,10.07428571,
FHIA17,A,5,FHIA17A5,mother,1/4/2002,9/26/2002,1/3/2003,360,111,212,37.05,13,207,31.35,13,5,66,10.07428571,
FHIA17,A,6,FHIA17A6,mother,1/4/2002,9/3/2002,12/7/2002,350,102,257,34.4,11,154,29.6,12,7,56,10.07428571,
FHIA17,A,7,FHIA17A7,mother,1/4/2002,9/11/2002,12/23/2002,356,102,205,44.25,12,196,41.35,11,6,55,10.07428571,
FHIA17,A,8,FHIA17A8,mother,1/4/2002,10/8/2002,1/28/2003,384,110,158,46.35,13,184,42.8,11,6,52,10.07428571,
FHIA17,A,9,FHIA17A9,mother,1/4/2002,10/4/2002,1/28/2003,361,112,181,43.8,13,199,40.85,11,4,56,10.07428571,
FHIA17,A,10,FHIA17A10,mother,1/4/2002,9/6/2002,12/7/2002,369,106,182,39.4,11,180,35.45,15,7,55,10.07428571,
FHIA17,B,1,FHIA17B1,mother,1/4/2002,9/11/2002,1/8/2003,328,104.5,159,53.65,13,200,50.8,14,5,65,10.03,
FHIA17,B,2,FHIA17B2,mother,1/4/2002,8/17/2002,11/27/2002,302,109,166,37.45,11,183,32.95,14,5,57,10.03,
FHIA17,B,3,FHIA17B3,mother,1/4/2002,9/19/2002,NA,362,116,217,NA,NA,NA,NA,13,NA,61,10.03,
FHIA17,B,4,FHIA17B4,mother,1/4/2002,8/31/2002,12/26/2002,320,107,220,36.7,11,178,32.9,14,4,57,10.03,
FHIA17,B,5,FHIA17B5,mother,1/4/2002,9/16/2002,1/8/2003,356,115,200,42.15,11,171,39.65,14,6,53,10.03,
FHIA17,B,6,FHIA17B6,mother,1/4/2002,8/21/2002,11/27/2002,304,105,194,28.75,10,165,24.3,12,4,57,10.03,
FHIA17,B,7,FHIA17B7,mother,1/4/2002,8/31/2002,12/24/2002,358,110,205,48.35,13,225,42.6,11,5,64,10.03,
FHIA17,B,8,FHIA17B8,mother,1/4/2002,8/23/2002,12/24/2002,372.4,108.6,153.4,53.95,12,195,49.35,11,4,57,10.03,
FHIA17,B,9,FHIA17B9,mother,1/4/2002,9/7/2002,12/28/2002,376,115,180,40.95,11,196,36.2,12,6,57,10.03,
FHIA17,B,10,FHIA17B10,mother,1/4/2002,9/17/2002,1/9/2003,354,106,162,34.1,11,191,29.4,12,5,61,10.03,
FHIA17,C,1,FHIA17C1,mother,1/4/2002,9/11/2002,1/7/2003,353,107,280,39.5,11,173,36.7,13,6,80,10.18,
FHIA17,C,2,FHIA17C2,mother,1/4/2002,8/27/2002,11/27/2002,369.9,113.1,162.8,40.5,11,193,34.55,12,5,83,10.18,
FHIA17,C,3,FHIA17C3,mother,1/4/2002,8/30/2002,12/31/2002,348,103,232,47.1,12,193,43.7,11,5,87,10.18,
FHIA17,C,4,FHIA17C4,mother,1/4/2002,8/31/2002,12/31/2002,344,99,270,41.95,12,194,37.05,11,5,83,10.18,
FHIA17,C,5,FHIA17C5,mother,1/4/2002,9/6/2002,1/4/2003,327,100,192,37.55,12,194,34.3,13,6,83,10.18,
FHIA17,C,6,FHIA17C6,mother,1/4/2002,8/17/2002,11/27/2002,297,92,194,33.65,11,180,28.9,13,4,80,10.18,
FHIA17,C,7,FHIA17C7,mother,1/4/2002,9/7/2002,1/4/2003,321,101,178,42.95,13,203,38.95,14,7,87,10.18,
FHIA17,C,8,FHIA17C8,mother,1/4/2002,9/16/2002,1/4/2003,356,110,125,48.45,12,192,45.2,14,7,84,10.18,
FHIA17,C,9,FHIA17C9,mother,1/4/2002,9/14/2002,1/4/2003,373.5,107,219,44.15,11,204,40,14,6,65,10.18,
FHIA17,C,10,FHIA17C10,mother,1/4/2002,9/6/2002,1/4/2003,334,108,294,34.9,11,188,32.09,14,4,65,10.18,
FHIA17,D,1,FHIA17D1,mother,1/4/2002,8/23/2002,12/28/2002,322.7,113.7,176.8,52,12,200,47.25,13,4,74,10.83,
FHIA17,D,2,FHIA17D2,mother,1/4/2002,9/2/2002,12/28/2002,346,107,180,51.3,11,197,47.15,14,5,48,10.83,
FHIA17,D,3,FHIA17D3,mother,1/4/2002,9/7/2002,12/28/2002,348,102,169,45.4,11,178,41.25,13,7,63,10.83,
FHIA17,D,4,FHIA17D4,mother,1/4/2002,8/20/2002,11/27/2002,311,99,250,35.9,11,177,31.35,11,4,62,10.83,
FHIA17,D,5,FHIA17D5,mother,1/4/2002,9/3/2002,12/28/2002,315,104,200,49.8,13,216,44.6,14,6,66,10.83,
FHIA17,D,6,FHIA17D6,mother,1/4/2002,9/4/2002,12/28/2002,281,95,235,67.05,11,173,33.3,13,5,75,10.83,
FHIA17,D,7,FHIA17D7,mother,1/4/2002,8/26/2002,12/28/2002,314.7,104.3,137.8,52.1,12,198,48.4,14,5,53,10.83,
FHIA17,D,8,FHIA17D8,mother,1/4/2002,8/21/2002,12/28/2002,324,95,200,55.85,11,178,51.75,11,6,53,10.83,
FHIA17,D,9,FHIA17D9,mother,1/4/2002,8/22/2002,12/28/2002,319.9,103.2,221.5,51.3,11,185,47.35,12,4,59,10.83,
FHIA17,D,10,FHIA17D10,mother,1/4/2002,9/4/2002,12/28/2002,318,104,166,35.45,12,195,31.2,11,6,59,10.83,
Cachaco,A,1,CachacoA1,mother,1/4/2002,9/27/2002,1/14/2003,371,73,271,15.65,6,74,14.7,9,5,68,6.555555556,
Cachaco,A,2,CachacoA2,mother,1/4/2002,9/27/2002,1/14/2003,397,75,240,13.65,6,69,12.4,8,5,67,6.555555556,
Cachaco,A,3,CachacoA3,mother,1/4/2002,9/27/2002,1/14/2003,390,70,210,12.4,6,66,11.2,10,5,67,6.555555556,
Cachaco,A,4,CachacoA4,mother,1/4/2002,10/1/2002,1/28/2003,410,69,275,10.8,5,57,10,10,3,65,6.555555556,
Cachaco,A,5,CachacoA5,mother,1/4/2002,10/10/2002,1/27/2003,392,74,265,13.1,4,48,12.05,8,4,68,6.555555556,
Cachaco,A,6,CachacoA6,mother,1/4/2002,8/26/2002,NA,397,74.9,350.9,NA,NA,NA,NA,9,NA,66,6.555555556,
Cachaco,A,7,CachacoA7,mother,1/4/2002,10/12/2002,1/28/2003,410,75,308,9.6,5,55,8.65,11,4,67,6.555555556,
Cachaco,A,8,CachacoA8,mother,1/4/2002,9/24/2002,1/14/2003,359,76,300,11.8,6,65,10.55,10,5,63,6.555555556,
Cachaco,A,9,CachacoA9,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,6.555555556,
Cachaco,A,10,CachacoA10,mother,1/4/2002,11/4/2002,1/14/2003,403,74,340,10.2,5,51,9.15,9,4,68,6.555555556,
Cachaco,B,1,CachacoB1,mother,1/4/2002,9/23/2002,1/28/2003,291,73,261,11.55,5,57,10.55,10,5,94,6.003888889,
Cachaco,B,2,CachacoB2,mother,1/4/2002,10/9/2002,2/7/2003,390,79,262,12.4,5,57,11.55,10,3,90,6.003888889,
Cachaco,B,3,CachacoB3,mother,1/4/2002,10/16/2002,2/7/2003,447,77,210,12.45,4,43,11.5,11,3,86,6.003888889,
Cachaco,B,4,CachacoB4,mother,1/4/2002,9/24/2002,1/14/2003,400,79,302,13.55,6,69,12.25,12,7,94,6.003888889,
Cachaco,B,5,CachacoB5,mother,1/4/2002,10/17/2002,2/7/2003,420,74,290,8.8,6,66,8.1,10,4,84,6.003888889,
Cachaco,B,6,CachacoB6,mother,1/4/2002,9/7/2002,12/17/2002,440,75,300,11,6,64,10.15,10,3,94,6.003888889,
Cachaco,B,7,CachacoB7,mother,1/4/2002,9/16/2002,1/8/2003,394,76,323,14.85,5,62,13.35,12,5,86,6.003888889,
Cachaco,B,8,CachacoB8,mother,1/4/2002,9/16/2002,1/8/2003,400,82,286,15.1,6,72,13.5,10,4,86,6.003888889,
Cachaco,B,9,CachacoB9,mother,1/4/2002,10/19/2002,2/7/2003,390,81,290,11.45,6,77,9.75,10,2,83,6.003888889,
Cachaco,B,10,CachacoB10,mother,1/4/2002,8/28/2002,NA,405,75.4,284,NA,NA,NA,NA,11,NA,94,6.003888889,
Cachaco,C,1,CachacoC1,mother,1/4/2002,9/28/2002,1/9/2003,418,75,341,8,5,44,6.8,10,4,65,6.777777778,
Cachaco,C,2,CachacoC2,mother,1/4/2002,11/15/2002,2/22/2003,385,72,278,8.85,5,56,7.9,10,5,76,6.777777778,
Cachaco,C,3,CachacoC3,mother,1/4/2002,9/9/2002,12/17/2002,404,82,316,12.65,6,69,11.35,10,4,76,6.777777778,
Cachaco,C,4,CachacoC4,mother,1/4/2002,10/21/2002,2/22/2003,453,81,150,12.6,6,72,11.45,11,5,59,6.777777778,
Cachaco,C,5,CachacoC5,mother,1/4/2002,10/9/2002,2/22/2003,380,72,259,9.8,4,48,9.2,10,5,68,6.777777778,
Cachaco,C,6,CachacoC6,mother,1/4/2002,11/4/2002,2/22/2003,395,71,270,15.4,6,69,14.1,8,4,70,6.777777778,
Cachaco,C,7,CachacoC7,mother,1/4/2002,9/6/2002,12/17/2002,409,75.5,279,10,6,64,8.85,7,3,75,6.777777778,
Cachaco,C,8,CachacoC8,mother,1/4/2002,10/10/2002,2/22/2003,415,77,256,19.4,6,74,18.2,10,4,68,6.777777778,
Cachaco,C,9,CachacoC9,mother,1/4/2002,9/14/2002,NA,423,94,304,NA,NA,NA,NA,10,NA,76,6.777777778,
Cachaco,C,10,CachacoC10,mother,1/4/2002,10/29/2002,2/22/2003,410,93,300,16.25,6,69,15.5,7,4,69,6.777777778,
Cachaco,D,1,CachacoD1,mother,1/4/2002,9/21/2002,2/7/2003,430,75,266,11.35,4,47,10.3,12,2,82,7.4,
Cachaco,D,2,CachacoD2,mother,1/4/2002,9/25/2002,1/8/2003,407,74,292,15,7,75,12.6,10,4,75,7.4,
Cachaco,D,3,CachacoD3,mother,1/4/2002,11/28/2002,3/14/2003,387,72,264,6.8,3,28,5.4,10,3,86,7.4,
Cachaco,D,4,CachacoD4,mother,1/4/2002,9/5/2002,12/17/2002,392,72,300,10.5,5,54,8.7,11,4,74,7.4,
Cachaco,D,5,CachacoD5,mother,1/4/2002,10/9/2002,NA,392,77,302,NA,NA,NA,NA,10,NA,74,7.4,
Cachaco,D,6,CachacoD6,mother,1/4/2002,9/20/2002,1/8/2003,410,72,298,11.05,5,57,9.55,11,4,77,7.4,
Cachaco,D,7,CachacoD7,mother,1/4/2002,9/17/2002,1/8/2003,422,76,285,10.45,5,54,9.25,10,5,78,7.4,
Cachaco,D,8,CachacoD8,mother,1/4/2002,9/11/2002,12/17/2002,400,75,166,9.7,5,54,8.6,12,5,91,7.4,
Cachaco,D,9,CachacoD9,mother,1/4/2002,8/21/2002,12/17/2002,401,76.3,313.6,11.8,5,56,10.4,11,5,81,7.4,
Cachaco,D,10,CachacoD10,mother,1/4/2002,9/30/2002,2/7/2003,433,74,355,11.85,4,53,10.85,10,3,75,7.4,
GrosMichel,A,1,GrosMichelA1,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,6.88,
GrosMichel,A,2,GrosMichelA2,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,6.88,
GrosMichel,A,3,GrosMichelA3,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,6.88,
GrosMichel,A,4,GrosMichelA4,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,6.88,
GrosMichel,A,5,GrosMichelA5,mother,1/4/2002,8/13/2002,11/27/2002,383,83,274,21.45,7,109,18.85,7,3,39,6.88,
GrosMichel,A,6,GrosMichelA6,mother,1/4/2002,8/5/2002,NA,371,71,334,NA,NA,NA,NA,9,NA,39,6.88,
GrosMichel,A,7,GrosMichelA7,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,6.88,
GrosMichel,A,8,GrosMichelA8,mother,1/4/2002,8/17/2002,11/27/2002,412,96,268,26.85,8,127,2,8,3,37,6.88,
GrosMichel,A,9,GrosMichelA9,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.88,
GrosMichel,A,10,GrosMichelA10,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,6.88,
GrosMichel,B,1,GrosMichelB1,mother,1/4/2002,8/14/2002,11/25/2002,399,84,227,NA,NA,NA,NA,7,NA,39,7.48,
GrosMichel,B,2,GrosMichelB2,mother,1/4/2002,8/13/2002,NA,413,88,221,NA,NA,NA,NA,7,NA,42,7.48,
GrosMichel,B,3,GrosMichelB3,mother,1/4/2002,9/12/2002,12/31/2002,442,92,336,15.65,6,83,13.4,7,3,39,7.48,
GrosMichel,B,4,GrosMichelB4,mother,1/4/2002,10/15/2002,NA,425,86,68,NA,NA,NA,NA,9,NA,39,7.48,
GrosMichel,B,5,GrosMichelB5,mother,1/4/2002,8/19/2002,11/27/2002,423,91.2,356,18.85,7,112,16.55,6,3,42,7.48,
GrosMichel,B,6,GrosMichelB6,mother,1/4/2002,8/12/2002,NA,386,87,280,NA,NA,NA,NA,6,NA,46,7.48,
GrosMichel,B,7,GrosMichelB7,mother,1/4/2002,8/31/2002,11/27/2002,454,93,252,24.1,8,119,21.3,8,3,36,7.48,
GrosMichel,B,8,GrosMichelB8,mother,1/4/2002,8/20/2002,11/27/2002,424,85,330,21.8,7,100,19,7,3,41,7.48,
GrosMichel,B,9,GrosMichelB9,mother,1/4/2002,8/16/2002,11/27/2002,418,91,233,20.05,7,111,17.25,9,2,45,7.48,
GrosMichel,B,10,GrosMichelB10,mother,1/4/2002,8/19/2002,NA,430,93,280,NA,NA,NA,NA,7,NA,49,7.48,
GrosMichel,C,1,GrosMichelC1,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,4.505555556,
GrosMichel,C,2,GrosMichelC2,mother,1/4/2002,9/20/2002,2/22/2003,391,85,270,25,8,124,23,9,3,40,4.505555556,
GrosMichel,C,3,GrosMichelC3,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.505555556,
GrosMichel,C,4,GrosMichelC4,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,4.505555556,
GrosMichel,C,5,GrosMichelC5,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4.505555556,
GrosMichel,C,6,GrosMichelC6,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,4.505555556,
GrosMichel,C,7,GrosMichelC7,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,4.505555556,
GrosMichel,C,8,GrosMichelC8,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,4.505555556,
GrosMichel,C,9,GrosMichelC9,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4.505555556,
GrosMichel,C,10,GrosMichelC10,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4.505555556,
GrosMichel,D,1,GrosMichelD1,mother,1/4/2002,8/31/2002,11/27/2002,375,82,260,21.65,8,119,19.2,9,2,40,7.826666667,
GrosMichel,D,2,GrosMichelD2,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,7.826666667,
GrosMichel,D,3,GrosMichelD3,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,7.826666667,
GrosMichel,D,4,GrosMichelD4,mother,1/4/2002,NA,4/5/2003,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,7.826666667,
GrosMichel,D,5,GrosMichelD5,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,7.826666667,
GrosMichel,D,6,GrosMichelD6,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,7.826666667,
GrosMichel,D,7,GrosMichelD7,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,7.826666667,
GrosMichel,D,8,GrosMichelD8,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,7.826666667,
GrosMichel,D,9,GrosMichelD9,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47,7.826666667,
GrosMichel,D,10,GrosMichelD10,mother,1/4/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39,7.826666667,
PisangCeylan,A,1,PisangCeylanA1,mother,1/4/2002,8/10/2002,12/2/2002,337.9,80.9,249.2,25.05,10,148,23.3,13,4,60,8.5,
PisangCeylan,A,2,PisangCeylanA2,mother,1/4/2002,8/8/2002,12/2/2002,357.9,84,154.7,20.65,11,174,18.15,13,5,81,8.5,
PisangCeylan,A,3,PisangCeylanA3,mother,1/4/2002,8/14/2002,12/7/2002,367,78.4,291,22.95,11,154,19.95,14,4,84,8.5,
PisangCeylan,A,4,PisangCeylanA4,mother,1/4/2002,7/31/2002,12/2/2002,346,78.4,259,18.2,11,174,17.05,13,5,82,8.5,
PisangCeylan,A,5,PisangCeylanA5,mother,1/4/2002,9/6/2002,12/26/2002,359.5,72,308,16.75,11,166,15.1,11,5,83,8.5,
PisangCeylan,A,6,PisangCeylanA6,mother,1/4/2002,8/19/2002,12/7/2002,346,77,262,22,10,154,19.95,11,4,84,8.5,
PisangCeylan,A,7,PisangCeylanA7,mother,1/4/2002,8/24/2002,12/7/2002,362.4,77.7,212.4,22.85,11,187,23.9,12,4,88,8.5,
PisangCeylan,A,8,PisangCeylanA8,mother,1/4/2002,8/23/2002,12/7/2002,391,81.9,249.7,25.05,12,209,23.05,13,5,82,8.5,
PisangCeylan,A,9,PisangCeylanA9,mother,1/4/2002,8/8/2002,12/2/2002,372.6,83.1,288.8,22.5,12,179,20.8,13,4,84,8.5,
PisangCeylan,A,10,PisangCeylanA10,mother,1/4/2002,9/4/2002,12/23/2002,331,79,283,24.25,10,174,22.5,11,4,84,8.5,
PisangCeylan,B,1,PisangCeylanB1,mother,1/4/2002,8/16/2002,NA,342,77,309,NA,NA,NA,NA,11,NA,81,6.355555556,
PisangCeylan,B,2,PisangCeylanB2,mother,1/4/2002,7/25/2002,12/2/2002,311.5,75,260,17.25,10,143,15.5,13,4,83,6.355555556,
PisangCeylan,B,3,PisangCeylanB3,mother,1/4/2002,9/25/2002,12/2/2002,360,76,312,20.65,11,160,18.55,9,3,58,6.355555556,
PisangCeylan,B,4,PisangCeylanB4,mother,1/4/2002,8/14/2002,11/22/2002,339,80,246,19.7,10,150,17.15,12,5,82,6.355555556,
PisangCeylan,B,5,PisangCeylanB5,mother,1/4/2002,9/6/2002,12/3/2002,336,74,285,12,7,105,10.4,11,5,58,6.355555556,
PisangCeylan,B,6,PisangCeylanB6,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.355555556,
PisangCeylan,B,7,PisangCeylanB7,mother,1/4/2002,8/10/2002,12/2/2002,320,73.3,200,21.15,11,170,19.1,12,5,72,6.355555556,
PisangCeylan,B,8,PisangCeylanB8,mother,1/4/2002,8/29/2002,12/2/2002,360,76,275,22.2,11,187,20.2,12,5,81,6.355555556,
PisangCeylan,B,9,PisangCeylanB9,mother,1/4/2002,8/27/2002,NA,367.2,77.6,275.4,NA,NA,NA,NA,12,NA,81,6.355555556,
PisangCeylan,B,10,PisangCeylanB10,mother,1/4/2002,9/4/2002,12/26/2002,372.3,81,290,19.15,11,164,17.55,11,3,45,6.355555556,
PisangCeylan,C,1,PisangCeylanC1,mother,1/4/2002,8/14/2002,11/29/2002,369,85,270,17,10,175,14.75,12,4,80,7.52,
PisangCeylan,C,2,PisangCeylanC2,mother,1/4/2002,8/14/2002,11/29/2002,363,81.6,307,21,11,201,18.75,11,3,83,7.52,
PisangCeylan,C,3,PisangCeylanC3,mother,1/4/2002,8/14/2002,11/29/2002,379,82,265,21.35,11,192,19.05,12,4,83,7.52,
PisangCeylan,C,4,PisangCeylanC4,mother,1/4/2002,9/11/2002,12/3/2002,387,78,305,14.8,10,149,12.9,10,4,49,7.52,
PisangCeylan,C,5,PisangCeylanC5,mother,1/4/2002,8/3/2002,11/29/2002,331,84.4,291,26.1,11,169,24,13,4,76,7.52,
PisangCeylan,C,6,PisangCeylanC6,mother,1/4/2002,8/21/2002,NA,370,82,337,19.6,10,179,17.65,10,4,79,7.52,
PisangCeylan,C,7,PisangCeylanC7,mother,1/4/2002,8/27/2002,12/9/2002,391,85,350.1,17.85,11,210,15.4,12,4,80,7.52,
PisangCeylan,C,8,PisangCeylanC8,mother,1/4/2002,8/15/2002,11/29/2002,369,80,296,21.05,11,185,19.1,11,4,83,7.52,
PisangCeylan,C,9,PisangCeylanC9,mother,1/4/2002,9/3/2002,12/9/2002,401,84,312,20.5,11,187,17.95,11,5,81,7.52,
PisangCeylan,C,10,PisangCeylanC10,mother,1/4/2002,8/14/2002,11/29/2002,369,85,270,18.4,11,177,16.05,12,4,78,7.52,
