Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
Williams,4,97,8/22/2002,6/20/2003,9/17/2003,167,47,60,16,8,130,112.3,110.7,84.5,102.5,18.3,16,17.15,11.2,10.9,11.05,13,4,0,0,1,1,1,1,1
Williams,5,102,8/22/2002,9/25/2003,11/21/2003,195,47,128,12.6,8,152,71.1,79.6,51.3,67.3333333333333,17.5,13.8,15.65,10.3,9.4,9.85,11,0,0,0,1,1,1,1,1
Williams,6,108,8/22/2002,6/5/2003,8/28/2003,148,45,100,15,8,121,112.4,124.9,91.9,109.733333333333,19.6,15.7,17.65,12,11.8,11.9,14,1,0,0,1,1,1,1,1
Williams,7,123,8/22/2002,5/8/2003,8/6/2003,133,39,130,12.2,8,119,90.8,103.6,70.9,88.4333333333333,17.4,14.3,15.85,11.6,10.8,11.2,13,4,0,0,1,1,1,1,1
Williams,8,128,8/22/2002,5/26/2003,9/4/2003,152,45,134,14.4,8,115,111.3,95.5,68.1,91.6333333333333,17,14.7,15.85,10.8,8.3,9.55,13,4,0,0,1,1,1,1,1
Williams,9,149,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,NA,1,1,1,1,1
Williams,10,162,8/22/2002,5/30/2003,9/4/2003,146,44,85,14.6,9,123,105.7,115.6,92.9,104.733333333333,18.2,15.8,17,11.8,11.6,11.7,12,3,0,0,1,1,1,1,1
Williams,11,176,8/22/2002,6/5/2003,9/4/2003,150,46,85,13.4,9,145,78.6,83.1,58.6,73.4333333333333,16.8,13.7,15.25,10.6,9.9,10.25,12,2,0,0,1,1,1,1,1
Williams,12,191,8/22/2002,5/30/2003,8/20/2003,134,38,126,8.2,7,110,67.3,69.9,53.4,63.5333333333333,15.7,14.1,14.9,9.8,9.5,9.65,12,7,0,0,1,1,1,1,1
Williams,13,221,8/22/2002,5/16/2003,8/6/2003,160,48,118,16.6,9,151,98,121,85,101.333333333333,19.5,15.1,17.3,11.8,11.1,11.45,12,5,0,0,1,1,1,1,1
Williams,14,246,8/22/2002,6/5/2003,8/28/2003,155,45,130,14.4,8,135,97.8,112.5,76.7,95.6666666666667,18.4,15.3,16.85,11.5,10.8,11.15,12,1,0,0,1,1,1,1,1
Williams,15,247,8/22/2002,4/11/2003,7/18/2003,137,37,157,13.6,7,116,108.6,122,84.3,104.966666666667,17.7,14.6,16.15,12.3,11.4,11.85,12,4,0,0,1,1,1,1,1
Williams,16,294,8/22/2002,6/5/2003,9/4/2003,158,43,122,10.4,8,107,84.1,90.8,67,80.6333333333333,17.5,14.2,15.85,10.8,10.4,10.6,12,1,0,0,1,1,1,1,1
Williams,17,324,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,1,1,1,1,1
