Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
FHIA18,7,81,8/22/2002,6/11/2003,9/17/2003,230,50.5,138,11.8,9,125,80,85,80.5,81.8333333333333,16.4,16.1,16.25,10.198,10.6,10.5,13,4,0,0,1,1,1,1,1
FHIA18,8,106,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.199,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA18,9,138,8/22/2002,6/5/2003,9/4/2003,219,45,170,12.4,8,110,94.5,98.9,87.1,93.5,16.9,15.1,16,10.200,11.5,11.6,15,4,0,0,1,1,1,1,1
FHIA18,10,165,8/22/2002,5/8/2003,8/28/2003,206,46,160,9.8,9,133,61.7,72.1,26.8,53.5333333333333,13.7,9.4,11.55,10.201,8.1,9.6,12,3,0,0,1,1,1,1,1
FHIA18,11,174,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.202,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA18,12,231,8/22/2002,5/30/2003,9/10/2003,210,51,148,9.4,7,92,82.6,126.7,115,108.1,16.8,16.2,16.5,10.203,12.4,12.55,13,5,0,0,1,1,1,1,1
FHIA18,13,252,8/22/2002,7/30/2003,10/16/2003,250,47,149,10.2,7,97,88.7,89.1,77.4,85.0666666666667,17.8,15.5,16.65,10.204,10.8,10.85,14,4,0,0,1,1,1,1,1
FHIA18,14,256,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.205,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA18,15,329,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.206,NA,NA,NA,NA,218,NA,1,1,1,1,1
FHIA18,16,357,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.207,NA,NA,NA,NA,280,300,5,5,5,4,4
FHIA18,17,359,8/22/2002,4/11/2003,7/25/2003,193,46,215,11.8,7,99,107.1,109.9,115.8,110.933333333333,16.7,15.1,15.9,10.208,12.8,12.35,12,6,0,0,1,1,1,1,1
FHIA18,18,382,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.209,NA,NA,NA,NA,228,NA,1,1,1,1,1
FHIA18,19,390,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.210,NA,NA,NA,NA,250,NA,1,1,1,1,1
FHIA18,20,394,8/22/2002,7/30/2003,10/30/2003,318,64,181,7.2,9,129,41.9,44.5,35.8,40.7333333333333,11.5,9.9,10.7,10.211,9.3,9.5,14,4,0,0,1,1,1,1,1
FHIA21,1,12,8/22/2002,10/8/2003,12/15/2003,310,57,183,16.2,7,106,141.5,162.7,115.6,139.933333333333,22.9,18.9,20.9,10.212,11.4,11.95,9,4,0,0,1,1,1,1,1
FHIA21,2,53,8/22/2002,9/4/2003,11/21/2003,293,57,210,19.8,9,128,137.5,184.5,116.1,146.033333333333,23.2,19.2,21.2,10.213,11.5,12.2,8,0,0,0,1,1,1,1,1
FHIA21,3,94,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.214,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA21,4,105,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.215,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA21,5,115,8/22/2002,7/30/2003,10/16/2003,294,60,167,15.2,6,82,161,165.8,134.3,153.7,23.6,21.2,22.4,10.216,11.7,11.95,12,1,0,0,1,1,1,1,1
FHIA21,6,119,8/22/2002,7/30/2003,10/30/2003,330,60,133,32.4,7,99,NA,229.7,166.5,234.433333333333,24.9,22.2,23.55,10.217,12.4,13,13,1,0,0,1,1,1,1,1
FHIA21,7,131,8/22/2002,7/2/2003,9/17/2003,338,57,164,23,8,106,198.1,184.1,135.9,172.7,24.5,21.3,22.9,10.218,11.8,12.15,15,4,0,0,1,1,1,1,1
FHIA21,8,151,8/22/2002,9/4/2003,11/11/2003,345,60,216,15.4,7,98,140.8,145.9,111.6,132.766666666667,22.9,19.3,21.1,10.219,11.3,11.55,8,1,0,0,1,1,1,1,1
FHIA21,9,204,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.220,NA,NA,NA,NA,0,NA,1,1,1,1,1
FHIA21,10,220,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.221,NA,NA,NA,NA,0,NA,1,1,1,1,1
FHIA21,11,248,8/22/2002,7/30/2003,10/16/2003,322,57.8,250,23,8,108,190.7,204.7,147.9,181.1,24.4,22,23.2,10.222,11.9,12.3,11,1,0,0,1,1,1,1,1
FHIA21,12,257,8/22/2002,7/24/2003,10/16/2003,342,60,240,23,9,116,181,207.7,150.3,179.666666666667,24.7,21.6,23.15,10.223,12.1,12.5,14,1,0,0,1,1,1,1,1
FHIA21,13,283,8/22/2002,9/12/2003,11/21/2003,382,63,165,19.4,7,106,166,210.8,169,181.933333333333,23.5,20.8,22.15,10.224,12.8,13.15,9,0,0,0,1,1,1,1,1
FHIA21,14,338,8/22/2002,9/12/2003,11/28/2003,227,63.5,120,17.6,7,101,157.4,174.4,133.6,155.133333333333,23.1,20.3,21.7,10.225,12.1,12.4,8,1,0,0,1,1,1,1,1
FHIA21,15,342,8/22/2002,7/2/2003,9/14/2003,365,62,250,21.4,8,119,161.3,172,129.3,154.2,23.1,21.3,22.2,10.226,11.7,12.1,14,3,0,0,1,1,1,1,1
FHIA21,16,346,8/22/2002,7/7/2004,9/30/2004,288,57,NA,23.5,8,107,123.5,NA,NA,123.5,NA,NA,NA,10.227,NA,NA,5,0,0,NA,1,1,1,1,1
FHIA21,17,367,8/22/2002,9/4/2003,11/11/2003,337,66.6,245,20.6,8,112,162.5,166.8,107.9,145.733333333333,23.3,19.8,21.55,10.228,11.2,11.75,8,2,0,0,1,1,1,1,1
FHIA21,18,392,8/22/2002,6/5/2003,9/10/2003,261,56,142,20.6,7,97,191.8,215.4,180.3,195.833333333333,23.9,20.9,22.4,10.229,13.4,13.45,15,3,0,0,1,1,1,1,1
FHIA21,19,396,8/22/2002,6/25/2003,9/10/2003,308,66,127,21.2,8,113,168.1,134.2,208.7,170.333333333333,21.5,24.5,23,10.230,13.1,12.5,15,4,0,0,1,1,1,1,1
FHIA21,20,400,8/22/2002,7/30/2003,9/17/2003,300,61,150,19,7,100,168,204.9,135.6,169.5,24.4,21,22.7,10.231,12.1,12.55,13,4,0,0,1,1,1,1,1
CRBP39,1,25,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.232,NA,NA,NA,NA,0,0,1,1,1,1,1
CRBP39,2,45,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.233,NA,NA,NA,NA,0,0,1,1,1,1,1
CRBP39,3,107,8/22/2002,5/25/2004,8/18/2004,386,52,80,22.4,8,121,168.6,NA,NA,168.6,NA,NA,NA,10.234,NA,NA,12,5,0,0,1,1,1,1,1
CRBP39,4,118,8/22/2002,9/12/2003,11/28/2003,320,58,110,12.2,7,90,120,137.7,104.9,120.866666666667,19.3,17.7,18.5,10.235,11.3,11.65,13,7,0,0,1,1,1,1,1
CRBP39,5,135,8/22/2002,6/8/2004,8/18/2004,316,47,NA,4,5,45,80,NA,NA,80,NA,NA,NA,10.236,NA,NA,6,6,0,0,1,1,1,1,1
CRBP39,6,139,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.237,NA,NA,NA,NA,NA,NA,1,1,1,1,1
CRBP39,7,144,8/22/2002,8/13/2003,11/21/2003,333,56,100,16,7,94,151.1,190.7,117.3,153.033333333333,21.4,17.3,19.35,10.238,11.8,12.55,16,5,0,0,1,1,1,1,1
CRBP39,8,148,8/22/2002,7/30/2003,10/30/2003,338,55,87,15.8,6,82,175.6,175.4,142.6,164.533333333333,22.4,20.1,21.25,10.239,12.1,12.45,13,6,0,0,1,1,1,1,1
CRBP39,9,150,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.240,NA,NA,NA,NA,240,0,1,1,1,1,1
CRBP39,10,164,8/22/2002,5/23/2003,8/28/2003,230,49,156,22.2,8,102,200,234.3,160.1,198.133333333333,22.3,18.7,20.5,10.241,13.9,14.35,15,7,0,0,1,1,1,1,1
CRBP39,11,183,8/22/2002,7/2/2003,10/10/2003,300,51,68,14.2,6,81,160.5,178.9,162.3,167.233333333333,21.1,20.3,20.7,10.242,13.3,13.55,16,8,0,0,1,1,1,1,1
CRBP39,12,189,8/22/2002,8/13/2003,11/21/2003,316,57,113,18.2,6,79,202.5,233.2,209.6,215.1,22.3,23,22.65,10.243,13.5,13.3,14,3,0,0,1,1,1,1,1
CRBP39,13,234,8/22/2002,11/11/2003,2/18/2004,292,46,135,12,5,143,232.6,74.2,69.1,125.3,14.5,13.8,14.15,10.244,10.4,10.4,9,3,0,240,4,4,4,4,4
CRBP39,14,261,8/22/2002,9/4/2003,11/11/2003,273,46,285,11.4,5,44,254.5,29.7,18.8,101,11.5,9,10.25,10.245,7.5,NA,8,4,0,0,1,1,1,1,1
CRBP39,15,272,8/22/2002,6/5/2003,9/17/2003,288,47,92,11.8,6,63,168.2,167,152,162.4,21.3,18.8,20.05,10.246,12.3,12.45,16,7,0,0,1,1,1,1,1
CRBP39,16,322,8/22/2002,9/12/2003,NA,254,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.247,NA,NA,7,NA,0,0,1,1,1,1,1
CRBP39,17,361,8/22/2002,6/25/2003,NA,250,NA,260,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.248,NA,NA,8,NA,0,0,1,1,1,1,1
CRBP39,18,366,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.249,NA,NA,NA,NA,0,0,1,1,1,1,1
CRBP39,19,370,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.250,NA,NA,NA,NA,258,NA,1,1,1,1,1
CRBP39,20,393,8/22/2002,8/13/2003,11/21/2003,357,57,148,19.8,7,97,183.5,179.3,156.7,173.166666666667,20.2,19.1,19.65,10.251,12.9,13.05,14,5,0,0,1,1,1,1,1
PITA16,1,9,8/22/2002,9/4/2003,11/21/2003,214,53,127,16.4,7,130,110.8,NA,NA,110.8,NA,NA,NA,10.252,NA,NA,11,5,0,0,1,1,1,1,1
PITA16,2,15,8/22/2002,8/13/2003,11/21/2003,292,56,200,12.6,10,158,70.9,84.5,45.2,66.8666666666667,15.7,11.2,13.45,10.253,9.8,10.55,10,2,0,0,1,1,1,1,1
PITA16,3,20,8/22/2002,6/25/2003,10/10/2003,244,55,184,14.4,8,128,101.6,107.8,85.4,98.2666666666667,17.9,15.9,16.9,10.254,11.3,11.55,13,6,0,0,1,1,1,1,1
PITA16,4,51,8/22/2002,11/6/2003,1/30/2004,310,57,20,8.6,9,139,56.1,65.7,43.7,55.1666666666667,14.2,11.2,12.7,10.255,9.8,10.15,10,3,0,0,1,1,1,1,1
PITA16,5,54,8/22/2002,7/2/2003,10/30/2003,273,63,154,28,8,149,177.2,173.3,135,161.833333333333,20.5,17.9,19.2,10.256,13,13.2,14,1,0,0,1,1,1,1,1
PITA16,6,93,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.257,NA,NA,NA,NA,NA,NA,1,1,1,1,1
PITA16,7,96,8/22/2002,9/12/2003,11/28/2003,276,64,115,18,8,148,105.4,118.9,85.1,103.133333333333,19.3,16.1,17.7,10.258,11.3,11.55,11,4,0,0,1,1,1,1,1
PITA16,8,117,8/22/2002,7/30/2003,10/30/2003,263,58,204,24.8,8,144,158.3,174.7,128.3,153.766666666667,21.4,17.8,19.6,10.259,12.8,13.1,14,4,0,0,1,1,1,1,1
PITA16,9,167,8/22/2002,6/25/2003,6/24/2003,294,57,229,23,6,NA,NA,NA,NA,NA,NA,NA,NA,10.260,13.8,14,13,2,0,0,1,1,1,1,1
PITA16,10,170,8/22/2002,5/26/2003,9/10/2003,247,63,214,30.4,9,164,161,174.9,140.1,158.666666666667,19.7,17.4,18.55,10.261,13.2,13.5,16,3,0,0,1,1,1,1,1
PITA16,11,178,8/22/2002,7/24/2003,10/30/2003,262,60,250,24.6,8,148,151.4,151.3,116.6,139.766666666667,19.9,17.6,18.75,10.262,12.5,12.75,13,3,0,0,1,1,1,1,1
PITA16,12,198,8/22/2002,6/25/2003,9/17/2003,274,61,184,21.4,7,121,155.4,160.5,126.1,147.333333333333,20.7,19,19.85,10.263,12.3,12.5,16,5,0,0,1,1,1,1,1
PITA16,13,208,8/22/2002,7/30/2003,10/30/2003,286,57,222,13.8,8,129,91.5,97.1,63.3,83.9666666666667,17.7,13.4,15.55,10.264,10.6,11,12,2,0,0,1,1,1,1,1
PITA16,14,219,8/22/2002,9/12/2003,1/12/2004,300,65,215,24.2,8,149,162.4,165.3,117.8,148.5,20,17.2,18.6,10.265,12.6,13.1,10,2,0,0,1,1,1,1,1
PITA16,15,264,8/22/2002,7/24/2003,10/30/2003,274,62,122,22.4,8,147,136,139.3,105,126.766666666667,19.6,17.4,18.5,10.266,11.8,12.2,13,1,0,0,1,1,1,1,1
PITA16,16,269,8/22/2002,6/11/2003,9/10/2003,252,58,222,15.2,8,127,103.9,139.3,114.8,119.333333333333,19.2,17,18.1,10.267,12,12.35,15,4,0,0,1,1,1,1,1
PITA16,17,275,8/22/2002,6/5/2003,9/10/2003,250,59,204,24.2,8,139,154,169.1,128.7,150.6,20,17.5,18.75,10.268,12.8,13.15,13,3,0,0,1,1,1,1,1
PITA16,18,280,8/22/2002,7/9/2003,10/30/2003,273,64,171,29.4,7,133,201.5,185.8,139.9,175.733333333333,21.4,18.4,19.9,10.269,13,13.45,16,0,0,0,1,1,1,1,1
PITA16,19,282,8/22/2002,9/4/2003,11/21/2003,284,62,224,16.6,7,149,102,98.3,83.9,94.7333333333333,18.8,16.3,17.55,10.270,11.1,11.25,10,6,0,0,1,1,1,1,1
PITA16,20,316,8/22/2002,6/5/2003,9/10/2003,260,61,228,22.4,9,166,116.9,141.3,110.5,122.9,18.9,17.5,18.2,10.271,12,12.3,15,5,0,0,1,1,1,1,1
FHIA25,1,74,8/22/2002,6/25/2003,9/10/2003,267,77,180,39.6,14,258,133.3,147.7,139.8,140.266666666667,19.6,18.6,19.1,10.272,12.4,15.45,19,9,0,0,1,1,1,1,1
FHIA25,2,78,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.273,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA25,3,92,8/22/2002,9/4/2003,11/21/2003,290,81,223,43.6,14,274,136.5,136.2,117.6,130.1,18.2,16.9,17.55,10.274,11.9,12.25,13,11,0,0,1,1,1,1,1
FHIA25,4,120,8/22/2002,11/11/2003,2/18/2004,319,NA,180,41.8,16,315,120,158.8,116,131.6,21,17.5,19.25,10.275,11.5,11.75,16,8,0,0,1,1,1,1,1
FHIA25,5,129,8/22/2002,7/30/2003,10/30/2003,294,78,150,43.8,13,237,167.1,189.5,153.2,169.933333333333,19.8,18.5,19.15,10.276,13.7,14.05,16,13,0,0,1,1,1,1,1
FHIA25,6,145,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.277,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA25,7,147,8/22/2002,1/6/2004,3/31/2004,300,71,200,43.6,15,286,137.1,NA,NA,137.1,NA,NA,NA,10.278,NA,NA,11,7,0,0,1,1,1,1,1
FHIA25,8,166,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.279,NA,NA,NA,NA,NA,NA,1,1,1,1,1
FHIA25,9,171,8/22/2002,2/17/2004,5/28/2004,315,95,NA,38.4,17,321,106.5,NA,NA,106.5,NA,NA,NA,10.280,NA,NA,16,2,0,0,1,1,1,1,1
FHIA25,10,184,8/22/2002,10/8/2003,1/21/2004,300,80,212,31.2,11,199,135.7,199.6,169.4,168.233333333333,20.4,18.5,19.45,10.281,13.6,13.55,12,7,0,0,1,1,1,1,1
FHIA25,11,205,8/22/2002,7/30/2003,10/30/2003,277,78,184,44.2,15,283,135.7,159,121.3,138.666666666667,19.3,17.6,18.45,10.282,11.8,12.3,18,9,0,0,1,1,1,1,1
FHIA25,12,226,8/22/2002,10/8/2003,1/12/2004,262,87,157,44.2,14,266,147.4,155.9,119.1,140.8,19.8,17.4,18.6,10.283,12.2,12.6,13,8,0,0,1,1,1,1,1
FHIA25,13,260,8/22/2002,9/4/2003,11/11/2003,290,85.5,151,39,15,297,111.1,118.7,104,111.266666666667,18,17,17.5,10.284,11.4,11.45,14,10,0,0,1,1,1,1,1
FHIA25,14,277,8/22/2002,7/30/2003,10/10/2003,280,76,200,34.6,14,255,117.6,132.5,113.3,121.133333333333,19.2,17.8,18.5,10.285,11.5,11.7,16,11,0,0,1,1,1,1,1
FHIA25,15,298,8/22/2002,10/30/2003,1/30/2004,323,90,164,46.4,16,298,137.6,154.2,129.1,140.3,18.7,17.8,18.25,10.286,12.1,12.25,15,7,0,0,1,1,1,1,1
FHIA25,16,311,8/22/2002,7/30/2003,10/16/2003,300,68,237,39,14,279,121,138.3,111.4,123.566666666667,19.5,18.2,18.85,10.287,11.4,11.55,19,3,0,0,1,1,1,1,1
FHIA25,17,319,8/22/2002,10/30/2003,1/21/2004,315,NA,124,NA,NA,NA,NA,135.5,119.1,89.8666666666667,19.1,17.5,18.3,10.288,11.7,11.85,12,8,0,0,1,1,1,1,1
FHIA25,18,339,8/22/2002,7/24/2003,10/30/2003,298,81,241,49.2,14,272,163.2,172.4,152.4,162.666666666667,19,18,18.5,10.289,13.2,13.45,16,8,0,0,1,1,1,1,1
FHIA25,19,368,8/22/2002,9/12/2003,12/15/2003,285,73,160,42.8,12,224,171.4,172.7,146.8,163.633333333333,19.5,18.5,19,10.290,12.8,13.1,16,5,0,0,1,1,1,1,1
FHIA25,20,373,8/22/2002,4/9/2003,11/21/2003,300,78.5,185,40.2,13,247,143.7,153,132.7,143.133333333333,19.1,18.1,18.6,10.291,12.3,12.4,17,10,0,0,1,1,1,1,1
PisangCeylan,1,46,8/22/2002,6/25/2003,9/4/2003,300,53.5,262,26,13,204,114.7,135.5,105.6,118.6,14.8,14.4,14.6,10.292,13,13.3,14,8,0,0,1,1,1,1,1
PisangCeylan,2,82,8/22/2002,5/30/2003,9/4/2003,270,49,280,23.8,11,195,111.8,117.2,101.8,110.266666666667,14.1,12.6,13.35,10.293,12.8,13,13,9,0,0,1,1,1,1,1
PisangCeylan,3,88,8/22/2002,4/30/2003,7/12/2003,251,49,278,17.5,11,186,83.3,80.6,80.6,81.5,13.4,11.9,12.65,10.294,11.8,11.4,13,7,0,0,1,1,1,1,1
PisangCeylan,4,109,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.295,NA,NA,NA,NA,268,NA,1,1,1,1,1
PisangCeylan,5,146,8/22/2002,6/5/2003,9/4/2003,278,49.5,242,15.8,10,178,75.3,87.4,56.6,73.1,13.6,11.7,12.65,10.296,10,10.95,14,2,0,0,1,1,1,1,1
PisangCeylan,6,157,8/22/2002,5/8/2003,7/25/2003,266,49,310,22,11,197,97.5,114.5,87.4,99.8,13.8,13.1,13.45,10.297,12,12.45,15,8,0,0,1,1,1,1,1
PisangCeylan,7,160,8/22/2002,5/8/2003,7/25/2003,267,68,265,27.2,12,229,118.8,91.2,74,94.6666666666667,13.3,12.7,13,10.298,11.1,11.4,15,6,0,0,1,1,1,1,1
PisangCeylan,8,194,8/22/2002,5/8/2003,7/25/2003,264,50,294,21.6,11,195,99.5,108,87.8,98.4333333333333,13.8,12.1,12.95,10.299,12.3,12.1,13,7,0,0,1,1,1,1,1
PisangCeylan,9,222,8/22/2002,4/30/2003,7/25/2003,240,NA,264,22,11,196,98,110.4,71.1,93.1666666666667,14.2,11.9,13.05,10.300,11.3,11.95,12,9,0,0,1,1,1,1,1
PisangCeylan,10,232,8/22/2002,4/30/2003,7/25/2003,260,50,273,18.8,11,191,85.9,101.8,78.3,88.6666666666667,13.2,12.5,12.85,10.301,11.6,12.05,12,7,0,0,1,1,1,1,1
PisangCeylan,11,236,8/22/2002,6/5/2003,8/20/2003,273,50,235,18,8,163,99.4,99.4,84.3,94.3666666666667,13.6,12.1,12.85,10.302,12.1,12.3,13,6,0,0,1,1,1,1,1
PisangCeylan,12,254,8/22/2002,4/30/2003,7/25/2003,260,53,280,21,10,170,108.2,93.8,79.3,93.7666666666667,13.4,12.6,13,10.303,11.6,12.05,13,7,0,0,1,1,1,1,1
PisangCeylan,13,290,8/22/2002,5/8/2003,8/13/2003,265,46,254,19.6,11,193,91.2,102.8,63.9,85.9666666666667,13.4,10.9,12.15,10.304,11.1,11.95,13,6,0,0,1,1,1,1,1
PisangCeylan,14,293,8/22/2002,5/20/2003,8/13/2003,260,49,235,18,10,176,93.2,112.4,88,97.8666666666667,13.2,12.3,12.75,10.305,12.4,12.8,15,6,0,0,1,1,1,1,1
PisangCeylan,15,297,8/22/2002,6/5/2003,8/28/2003,255,46,230,14.8,11,185,71.4,75.7,67.4,71.5,12,11.2,11.6,10.306,11.4,11.5,12,8,0,0,1,1,1,1,1
PisangCeylan,16,310,8/22/2002,5/8/2003,8/13/2003,260,48,280,21,10,201,95.5,107.6,112,105.033333333333,13.9,14,13.95,10.307,13,12.95,13,6,0,0,1,1,1,1,1
PisangCeylan,17,376,8/22/2002,4/24/2003,7/25/2003,250,46,262,18.8,11,178,97.8,105.3,89.7,97.6,13.7,12.3,13,10.308,12.5,12.65,12,7,0,0,1,1,1,1,1
PisangCeylan,18,378,8/22/2002,5/8/2003,8/13/2003,270,50,340,25.2,11,195,116.9,140.7,101.1,119.566666666667,15.1,13.1,14.1,10.309,13.2,13.6,11,6,0,0,1,1,1,1,1
PisangCeylan,19,380,8/22/2002,4/4/2003,NA,258,52,271,22.5,11,187,95.7,115.1,100.4,103.733333333333,13.7,13.2,13.45,10.310,12.6,12.75,13,10,0,0,1,1,1,1,1
PisangCeylan,20,398,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.311,NA,NA,NA,NA,260,NA,1,1,1,1,1
Latundan,1,31,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.312,NA,NA,NA,NA,248,NA,1,1,1,1,1
Latundan,2,63,8/22/2002,7/2/2003,8/23/2003,310,53,150,5.4,7,113,37.2,34,31.3,34.1666666666667,11.2,10,10.6,10.313,8.3,8.25,15,0,300,0,1,1,1,1,1
Latundan,3,66,8/22/2002,8/13/2003,10/30/2003,333,55.5,233,15.8,8,113,122.1,131,99.9,117.666666666667,18,14.4,16.2,10.314,12.2,12.35,19,0,0,0,1,1,1,1,1
Latundan,4,100,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.315,NA,NA,NA,NA,295,250,3,3,4,4,4
Latundan,5,113,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.316,NA,NA,NA,NA,285,180,6,6,6,5,5
Latundan,6,155,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.317,NA,NA,NA,NA,253,300,3,3,3,3,4
Latundan,7,207,8/22/2002,10/30/2003,NA,385,NA,362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.318,NA,NA,10,NA,375,137,6,6,6,6,6
Latundan,8,212,8/22/2002,7/30/2003,9/25/2003,296,57,184,11.2,8,120,76.7,85.9,64.9,75.8333333333333,15.1,12.8,13.95,10.319,10.7,10.9,9,3,0,0,1,1,1,1,1
Latundan,9,214,8/22/2002,10/8/2003,NA,330,NA,200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.320,NA,NA,NA,NA,0,0,1,1,1,1,1
Latundan,10,228,8/22/2002,6/25/2003,9/4/2003,292,54,165,13.4,8,112,96.4,107.7,77.9,94,16.3,13.8,15.05,10.321,11.2,11.45,12,1,295,0,1,1,1,1,1
Latundan,11,242,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.322,NA,NA,NA,NA,300,213,6,6,6,5,5
Latundan,12,243,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.323,NA,NA,NA,NA,270,0,1,1,1,1,1
Latundan,13,259,8/22/2002,7/24/2003,9/25/2003,283,45.5,265,7,6,67,89.6,87.5,73,83.3666666666667,14.5,12.7,13.6,10.324,11.1,11.15,9,2,0,0,1,1,1,1,1
Latundan,14,270,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.325,NA,NA,NA,NA,268,250,6,6,6,5,5
Latundan,15,296,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.326,NA,NA,NA,NA,160,0,1,1,1,1,1
Latundan,16,304,8/22/2002,7/2/2003,8/31/2003,296,NA,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.327,NA,NA,12,NA,280,0,1,1,1,1,1
Latundan,17,312,8/22/2002,11/20/2003,1/30/2004,300,49,174,6.2,6,59,88.1,95.6,80.6,88.1,14.5,13.4,13.95,10.328,11.5,11.6,6,2,0,0,1,1,1,1,1
Latundan,18,320,8/22/2002,6/18/2003,8/20/2003,304,57,225,13.4,8,118,96.6,101.8,78.3,92.2333333333333,16.7,14.6,15.65,10.329,11.1,11.3,14,3,0,0,1,1,1,1,1
Latundan,19,364,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.330,NA,NA,NA,NA,NA,NA,1,1,1,1,1
Latundan,20,365,8/22/2002,4/9/2003,11/11/2003,340,58.2,170,14.6,9,143,85.3,97.4,65.7,82.8,15.2,12.3,13.75,10.331,10.7,11,8,0,0,0,1,1,1,1,1
