Cultivar,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Crop cycle (days),Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of fruits in hand,Weight of fruit (g),Number of functional leaves (shooting)
SH3640,7,SH36407,mother,17/08/2002,9/9/2003,NA,215.5,59.5,14,17,65.5,10
SH3640,8,SH36408,mother,17/08/2002,12/9/2003,NA,210,59.5,13.8,15,64,11
SH3640,9,SH36409,mother,17/08/2002,19/09/2003,NA,205,61,11,16,64.5,10
SH3640,10,SH364010,mother,17/08/2002,2/9/2003,NA,200.5,59,12,16,64.5,11
TMBx52951,1,TMBx529511,mother,17/08/2002,1/10/2003,NA,210,61.5,10.8,17,65.5,8
TMBx52951,2,TMBx529512,mother,17/08/2002,9/10/2003,NA,211,61,9.5,17,65,8
TMBx52951,3,TMBx529513,mother,17/08/2002,11/10/2003,NA,216,59.5,9.8,16,64.5,8
TMBx52951,4,TMBx529514,mother,17/08/2002,12/10/2003,NA,213,63.5,11.2,17,64.5,7
TMBx52951,5,TMBx529515,mother,17/08/2002,9/10/2003,NA,216,61.5,10.3,19,65,8
TMBx52951,6,TMBx529516,mother,17/08/2002,6/10/2003,NA,218,63,10.7,17,65,9
TMBx52951,7,TMBx529517,mother,17/08/2002,5/10/2003,NA,215,58.5,9.9,19,66,8
TMBx52951,8,TMBx529518,mother,17/08/2002,13/10/2003,NA,228,61.5,11.6,18,66,8
TMBx52951,9,TMBx529519,mother,17/08/2002,4/10/2003,NA,217,64,10,15,65,8
TMBx52951,10,TMBx5295110,mother,17/08/2002,10/10/2003,NA,212,61,11,15,64,9
CRBP39,1,CRBP391,mother,17/08/2002,2/10/2003,NA,221,61.5,13,19,63,9
CRBP39,2,CRBP392,mother,17/08/2002,27/09/2003,NA,221.5,64,13.5,17,64.5,10
CRBP39,3,CRBP393,mother,17/08/2002,20/09/2003,NA,227,62,12.6,16,63.5,9
CRBP39,4,CRBP394,mother,17/08/2002,29/09/2003,NA,225.5,64.5,11.2,20,63.5,10
CRBP39,5,CRBP395,mother,17/08/2002,26/09/2003,NA,226.5,60,13.1,19,63,10
CRBP39,6,CRBP396,mother,17/08/2002,24/09/2003,NA,218,58.5,12.4,21,62.5,10
CRBP39,7,CRBP397,mother,17/08/2002,22/09/2003,NA,225.5,64.5,12.5,21,62.5,10
CRBP39,8,CRBP398,mother,17/08/2002,30/09/2003,NA,229.5,62.5,13.8,20,62.5,9
CRBP39,9,CRBP399,mother,17/08/2002,21/09/2003,NA,219.5,64,12,15,63,11
CRBP39,10,CRBP3910,mother,17/08/2002,1/10/2003,NA,222,59.5,12.9,15,63.5,8
WilliamsBell,1,WilliamsBell1,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,2,WilliamsBell2,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,3,WilliamsBell3,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,4,WilliamsBell4,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,5,WilliamsBell5,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,6,WilliamsBell6,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,7,WilliamsBell7,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,8,WilliamsBell8,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
WilliamsBell,9,WilliamsBell9,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
