Cultivar,Plant,Mat ID,Plant cycle,Time period,Infection index
WilliamsBell,10,WilliamsBell10,mother,13map,NA
TieuLun,1,TieuLun1,mother,13map,9.5
TieuLun,2,TieuLun2,mother,13map,8
TieuLun,3,TieuLun3,mother,13map,10
TieuLun,4,TieuLun4,mother,13map,7.5
TieuLun,5,TieuLun5,mother,13map,7
TieuLun,6,TieuLun6,mother,13map,6
TieuLun,7,TieuLun7,mother,13map,9.5
TieuLun,8,TieuLun8,mother,13map,4
TieuLun,9,TieuLun9,mother,13map,8.5
TieuLun,10,TieuLun10,mother,13map,9
YangambiKm5,1,YangambiKm51,ratoon,13map,NA
YangambiKm5,2,YangambiKm52,ratoon,13map,NA
YangambiKm5,3,YangambiKm53,ratoon,13map,NA
YangambiKm5,4,YangambiKm54,ratoon,13map,NA
YangambiKm5,5,YangambiKm55,ratoon,13map,NA
YangambiKm5,6,YangambiKm56,ratoon,13map,NA
YangambiKm5,7,YangambiKm57,ratoon,13map,NA
YangambiKm5,8,YangambiKm58,ratoon,13map,NA
YangambiKm5,9,YangambiKm59,ratoon,13map,NA
YangambiKm5,10,YangambiKm510,ratoon,13map,NA
PITA16,1,PITA161,ratoon,13map,NA
PITA16,2,PITA162,ratoon,13map,NA
PITA16,3,PITA163,ratoon,13map,NA
PITA16,4,PITA164,ratoon,13map,NA
PITA16,5,PITA165,ratoon,13map,NA
PITA16,6,PITA166,ratoon,13map,NA
PITA16,7,PITA167,ratoon,13map,NA
PITA16,8,PITA168,ratoon,13map,NA
PITA16,9,PITA169,ratoon,13map,NA
PITA16,10,PITA1610,ratoon,13map,NA
TMBx91283,1,TMBx912831,ratoon,13map,NA
TMBx91283,2,TMBx912832,ratoon,13map,NA
TMBx91283,3,TMBx912833,ratoon,13map,NA
TMBx91283,4,TMBx912834,ratoon,13map,NA
TMBx91283,5,TMBx912835,ratoon,13map,NA
TMBx91283,6,TMBx912836,ratoon,13map,NA
TMBx91283,7,TMBx912837,ratoon,13map,NA
TMBx91283,8,TMBx912838,ratoon,13map,NA
TMBx91283,9,TMBx912839,ratoon,13map,NA
TMBx91283,10,TMBx9128310,ratoon,13map,NA
PisangLemakManis,1,PisangLemakManis1,ratoon,13map,NA
PisangLemakManis,2,PisangLemakManis2,ratoon,13map,NA
PisangLemakManis,3,PisangLemakManis3,ratoon,13map,NA
PisangLemakManis,4,PisangLemakManis4,ratoon,13map,NA
PisangLemakManis,5,PisangLemakManis5,ratoon,13map,NA
PisangLemakManis,6,PisangLemakManis6,ratoon,13map,NA
PisangLemakManis,7,PisangLemakManis7,ratoon,13map,NA
PisangLemakManis,8,PisangLemakManis8,ratoon,13map,NA
PisangLemakManis,9,PisangLemakManis9,ratoon,13map,NA
PisangLemakManis,10,PisangLemakManis10,ratoon,13map,NA
Foconah,1,Foconah1,ratoon,13map,NA
Foconah,2,Foconah2,ratoon,13map,NA
Foconah,3,Foconah3,ratoon,13map,NA
Foconah,4,Foconah4,ratoon,13map,NA
Foconah,5,Foconah5,ratoon,13map,NA
Foconah,6,Foconah6,ratoon,13map,NA
Foconah,7,Foconah7,ratoon,13map,NA
Foconah,8,Foconah8,ratoon,13map,NA
Foconah,9,Foconah9,ratoon,13map,NA
Foconah,10,Foconah10,ratoon,13map,NA
Selangor,1,Selangor1,ratoon,13map,NA
Selangor,2,Selangor2,ratoon,13map,NA
Selangor,3,Selangor3,ratoon,13map,NA
Selangor,4,Selangor4,ratoon,13map,NA
Selangor,5,Selangor5,ratoon,13map,NA
Selangor,6,Selangor6,ratoon,13map,NA
Selangor,7,Selangor7,ratoon,13map,NA
Selangor,8,Selangor8,ratoon,13map,NA
Selangor,9,Selangor9,ratoon,13map,NA
Selangor,10,Selangor10,ratoon,13map,NA
PisangCeylan,1,PisangCeylan1,ratoon,13map,NA
PisangCeylan,2,PisangCeylan2,ratoon,13map,NA
PisangCeylan,3,PisangCeylan3,ratoon,13map,NA
PisangCeylan,4,PisangCeylan4,ratoon,13map,NA
PisangCeylan,5,PisangCeylan5,ratoon,13map,NA
PisangCeylan,6,PisangCeylan6,ratoon,13map,NA
PisangCeylan,7,PisangCeylan7,ratoon,13map,NA
PisangCeylan,8,PisangCeylan8,ratoon,13map,NA
PisangCeylan,9,PisangCeylan9,ratoon,13map,NA
PisangCeylan,10,PisangCeylan10,ratoon,13map,NA
SH3640,1,SH36401,ratoon,13map,NA
SH3640,2,SH36402,ratoon,13map,NA
SH3640,3,SH36403,ratoon,13map,NA
SH3640,4,SH36404,ratoon,13map,NA
SH3640,5,SH36405,ratoon,13map,NA
SH3640,6,SH36406,ratoon,13map,NA
SH3640,7,SH36407,ratoon,13map,NA
SH3640,8,SH36408,ratoon,13map,NA
SH3640,9,SH36409,ratoon,13map,NA
SH3640,10,SH364010,ratoon,13map,NA
TMBx52951,1,TMBx529511,ratoon,13map,NA
TMBx52951,2,TMBx529512,ratoon,13map,NA
TMBx52951,3,TMBx529513,ratoon,13map,NA
TMBx52951,4,TMBx529514,ratoon,13map,NA
TMBx52951,5,TMBx529515,ratoon,13map,NA
TMBx52951,6,TMBx529516,ratoon,13map,NA
TMBx52951,7,TMBx529517,ratoon,13map,NA
TMBx52951,8,TMBx529518,ratoon,13map,NA
TMBx52951,9,TMBx529519,ratoon,13map,NA
TMBx52951,10,TMBx5295110,ratoon,13map,NA
CRBP39,1,CRBP391,ratoon,13map,NA
CRBP39,2,CRBP392,ratoon,13map,NA
CRBP39,3,CRBP393,ratoon,13map,NA
CRBP39,4,CRBP394,ratoon,13map,NA
CRBP39,5,CRBP395,ratoon,13map,NA
CRBP39,6,CRBP396,ratoon,13map,NA
CRBP39,7,CRBP397,ratoon,13map,NA
CRBP39,8,CRBP398,ratoon,13map,NA
CRBP39,9,CRBP399,ratoon,13map,NA
CRBP39,10,CRBP3910,ratoon,13map,NA
WilliamsBell,1,WilliamsBell1,ratoon,13map,NA
WilliamsBell,2,WilliamsBell2,ratoon,13map,NA
WilliamsBell,3,WilliamsBell3,ratoon,13map,NA
WilliamsBell,4,WilliamsBell4,ratoon,13map,NA
WilliamsBell,5,WilliamsBell5,ratoon,13map,NA
WilliamsBell,6,WilliamsBell6,ratoon,13map,NA
WilliamsBell,7,WilliamsBell7,ratoon,13map,NA
WilliamsBell,8,WilliamsBell8,ratoon,13map,NA
WilliamsBell,9,WilliamsBell9,ratoon,13map,NA
WilliamsBell,10,WilliamsBell10,ratoon,13map,NA
TieuLun,1,TieuLun1,ratoon,13map,NA
TieuLun,2,TieuLun2,ratoon,13map,NA
TieuLun,3,TieuLun3,ratoon,13map,NA
TieuLun,4,TieuLun4,ratoon,13map,NA
TieuLun,5,TieuLun5,ratoon,13map,NA
TieuLun,6,TieuLun6,ratoon,13map,NA
TieuLun,7,TieuLun7,ratoon,13map,NA
TieuLun,8,TieuLun8,ratoon,13map,NA
TieuLun,9,TieuLun9,ratoon,13map,NA
TieuLun,10,TieuLun10,ratoon,13map,NA
