Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
552,54,Uganda,Mb_fp,4,2016_Mbarara_53,NARITA 9,53,126657,3,NA,1,1,21,54,Mbarara,firstplant,3,53,NARITA_17    ,9,NARITA_17    ,17,7,14,271,7,7,21.42857,4,0,0,1,15.2,10,14.6,1.46,0.6,164,16,.,574,.,8.5,15.71666667,11.1,3.233333333,2.833333333,2,0,574,365,0.635888502,1111,10.73837631,10.31449303,No,No,
554,56,Uganda,Mb_fp,4,2016_Mbarara_54,NARITA 16,54,126637,3,NA,1,1,22,56,Mbarara,firstplant,3,54,NARITA_16    ,16,NARITA_16    ,16,4.8,8.6,270.8,5,5,42.444444,2,8,1,1,8.3,5.2,7.38,1.396666667,0.92,68.6,13,473,640.6,167.6,37.4614,20.95,9.716666667,2.803333333,2.356666667,2.3,0,640.6,365,0.569778333,1111,5.25409694,4.671715111,No,,
555,57,Uganda,Mb_fp,4,2016_Mbarara_55,NARITA 10,55,126597,3,NA,1,1,23,57,Mbarara,firstplant,3,55,NARITA_10    ,10,NARITA_10    ,10,5,10.25,256.75,5,5,40.833335,1.5,4.1666675,0.75,1,11,8.25,10.275,1.245833333,0.725,142.75,16.5,403.75,591.75,188,36.533125,14.12916667,9.920833335,2.929166667,2.508333334,2,0,591.75,365,0.616814533,1111,7.53809041,7.041261724,No,,
556,58,Uganda,Mb_fp,4,2016_Mbarara_56,Cachaco,56,126629,3,1,1,1,24,58,Mbarara,firstplant,3,56,Cachaco      ,32,Cachaco      ,32,6,13.8,334.4,6.4,6.4,40.285712,2.4,2.857142,0.6,1,9.84,5.8,9.52,1.667333333,0.32,62.2,10.2,441.4,615.4,174,80.07,17.69333333,14.05333333,3.933333333,3.263333333,3.3,0,615.4,365,0.593110172,1111,6.484022749,6.273160221,No,,
557,59,Uganda,Mb_fp,4,2016_Mbarara_57,NARITA 11,57,126602,3,NA,1,2,17,59,Mbarara,firstplant,3,57,NARITA_11    ,11,NARITA_11    ,11,4.75,8.75,277.5,4.75,4.75,21.145835,2,8.3333325,1,1,19.575,9,19.65,2.195347222,-0.075,154.75,16.75,430.25,618.5,188.25,25.1,19.55833333,11.225,3.270833334,2.7,2.25,0,618.5,365,0.590137429,1111,12.83420554,12.88337874,No,,
558,60,Uganda,Mb_fp,4,2016_Mbarara_58,Pisang Ceylan,58,126622,3,1,1,2,18,60,Mbarara,firstplant,3,58,Pisang_Ceylan,31,Pisang_Ceylan,31,11.22222222,13.77777778,325,11.22222222,11.22222222,17.65351778,6.555555556,26.80976444,3.555555556,1,16.15555556,11.77777778,15.42222222,1.313655789,0.733333333,174.1111111,14.44444444,432.8888889,618,185.1111111,29.48838889,14.38518519,11.16851852,3.240740741,2.733333333,2.425925926,0,618,365,0.590614887,1111,10.60084161,10.11964797,No,,
559,61,Uganda,Mb_fp,4,2016_Mbarara_59,NARITA 18,59,126654,3,NA,1,2,19,61,Mbarara,firstplant,3,59,NARITA_18    ,18,NARITA_18    ,18,4.555555556,10.44444444,236.5555556,4.555555556,4.555555556,35.24691222,1.666666667,0,0.444444444,1,23.04444444,10.33333333,22.14666667,2.150779936,0.897777778,193.8888889,18.44444444,426,610,184,45.6074537,17.00925926,11.48888889,3.366666667,2.794444444,2.888888889,0,610,365,0.598360656,1111,15.31945555,14.72263202,No,,
560,63,Uganda,Mb_fp,4,2016_Mbarara_60,NARITA 8,60,126628,3,NA,1,2,20,62,Mbarara,firstplant,3,60,NARITA_08    ,8,NARITA_08    ,8,4,9,313,4,4,34.25926,2.333333333,0,0.666666667,1,22.03333333,8,20.5,2.553240741,1.533333333,133.6666667,16.33333333,391,544.3333333,153.3333333,100.0733333,19.51111111,12.36111111,3.572222222,2.972222222,3,0,544.3333333,365,0.670545009,1111,16.41429363,15.27199786,No,,
561,64,Uganda,Mb_fp,4,2016_Mbarara_61,NARITA 7,61,126603,3,NA,1,2,21,63,Mbarara,firstplant,3,61,NARITA_07    ,7,NARITA_07    ,7,5.777777778,9.555555556,342.4444444,5.777777778,5.777777778,36.05158556,2.222222222,19.04761889,2.222222222,1,21.08888889,7.888888889,20.05555556,2.569069665,1.033333333,114.2222222,14.22222222,522.3333333,655.2222222,132.8888889,0.161111111,19.5462963,13.3037037,3.788888889,3.162962963,3,0,655.2222222,365,0.557062913,1111,13.05184789,12.4123211,No,,
562,65,Uganda,Mb_fp,4,2016_Mbarara_62,Gros michel,62,126636,3,1,1,2,22,64,Mbarara,firstplant,3,62,Gros_Michel  ,33,Gros_Michel  ,33,4,9,250,4,4,41.66667,1,0,1,1,15.3,7,12.5,1.785714286,2.8,100,14,538,648,110,0.1,19.28333333,11.23333333,3.2,2.65,3,0,648,365,0.563271605,1111,9.574659722,7.822434414,No,,
