Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
1644,75,Tanzania,Ta_fp,10,2016_TaCRI_72,NARITA 22,72,129090,3,NA,1,6,8,67,TaCRI,firstplant,3,72,NARITA_22    ,22,NARITA_22    ,22,6,11,337.5,5.5,5.5,0,0,-18.33333334,0,1,37.1,6.5,34,5.225,3.1,104.5,15,.,583.5,.,0.4,19.66666667,11.91666667,3.016666667,2.125,2,0,583.5,365,0.625535561,1111,25.78338732,23.62898029,No,,
1645,76,Tanzania,Ta_fp,10,2016_TaCRI_73,NARITA 8,73,129126,4,NA,1,4,9,68,TaCRI,firstplant,4,73,NARITA_08    ,8,NARITA_08    ,8,3.8,8.8,319.4,2.6,2.6,0,0,-68.33333333,0,1,42.84,7.6,35.96,4.662857143,6.88,121,15.4,.,567.4,.,0.35,19.01,11.75,3.15,2.23,2,0,567.4,365,0.64328516,1111,30.6173116,25.70024568,No,,
1646,77,Tanzania,Ta_fp,10,2016_TaCRI_74,NARITA 19,74,129095,4,NA,1,4,10,69,TaCRI,firstplant,4,74,NARITA_19    ,19,NARITA_19    ,19,3.4,7.3,263.1,3.3,3.3,0,0,-22.5,0,1,10.06,4.4,8.96,2.012333333,1.1,51.5,11.4,.,584.1,.,35.11,11.46333333,10.93833333,3.023333333,2.075,1.7,0,584.1,365,0.624892998,1111,6.984216573,6.22053484,No,,
1647,78,Tanzania,Ta_fp,10,2016_TaCRI_75,NARITA 20,75,129146,4,NA,1,4,11,70,TaCRI,firstplant,4,75,NARITA_20    ,20,NARITA_20    ,20,3.75,7.25,337.125,3.625,3.625,0,0,-38.75,0,1,29.625,7.875,26.425,3.31686508,3.2,105.75,12.625,.,548.5,.,0.172916667,15.52916667,11.27083333,3.010416667,2.20625,1.979166667,0,548.5,365,0.665451231,1111,21.9022459,19.53643368,No,,
1648,79,Tanzania,Ta_fp,10,2016_TaCRI_76,NARITA 21,76,129130,4,NA,1,4,12,71,TaCRI,firstplant,4,76,NARITA_21    ,21,NARITA_21    ,21,6.444444444,7.111111111,307.5555556,6.333333333,6.333333333,0,0,-17.42063492,0,1,25.24444444,7,21.56666667,2.958130511,3.677777778,70.55555556,10,.,563.6666667,.,0.346296296,15.98518518,12.19074074,3.138888889,2.274074074,2,0,563.6666667,365,0.647545831,1111,18.16144451,15.51556505,No,,
1649,80,Tanzania,Ta_fp,10,2016_TaCRI_77,NARITA 14,77,129112,4,NA,1,4,13,72,TaCRI,firstplant,4,77,NARITA_14    ,14,NARITA_14    ,14,7.333333333,9.666666667,172,2.666666667,2.666666667,0,0,0,0,1,28.28333333,7,29.5,3.994444444,-1.216666667,102.6666667,14,.,606.6666667,.,200.2111111,17,11.88888889,2.711111111,2.311111111,2,0,606.6666667,365,0.601648352,1111,18.90546579,19.7187239,No,,
1650,81,Tanzania,Ta_fp,10,2016_TaCRI_78,Gros michel,78,129108,4,1,1,4,14,73,TaCRI,firstplant,4,78,Gros_Michel  ,33,Gros_Michel  ,33,5.6,4.6,334.6,5,5,0,0,-19.04761772,0,1,70.24,9.6,68.28,7.090222222,1.96,151.2,15.4,513,634.6,170,120.38,22.16666667,13.71666667,3.326666667,2.363333333,2,0,634.6,365,0.575165459,1111,44.88397983,43.63152253,No,,
1651,82,Tanzania,Ta_fp,10,2016_TaCRI_79,NARITA 7,79,129154,4,NA,1,4,15,74,TaCRI,firstplant,4,79,NARITA_07    ,7,NARITA_07    ,7,5.857142857,9,396.8571429,5.142857143,5.142857143,0,0,-20.98639408,0,1,60.14285714,8.857142857,56.22857143,6.305238095,3.914285714,130.1428571,14.14285714,508,601.5714286,175,0.5,18.69047619,13.33333333,3.335714286,2.338095238,2,0,601.5714286,365,0.606744241,1111,40.5418701,37.90327808,No,,
1652,84,Tanzania,Ta_fp,10,2016_TaCRI_80,NARITA 2,80,129087,4,NA,1,4,16,75,TaCRI,firstplant,4,80,NARITA_02    ,2,NARITA_02    ,2,2.555555556,8.555555556,395.7777778,1.777777778,1.777777778,0,0,-48.14814815,0,1,43.35555556,7.222222222,40.05555556,5.44728836,3.3,99.22222222,13.22222222,.,595.4444444,.,166.8944444,18.12962963,12.93518519,3.42962963,2.522222222,2,0,595.4444444,365,0.612987498,1111,29.52639541,27.27899935,No,,
1654,86,Tanzania,Ta_fp,10,2016_TaCRI_81,NARITA 23,81,NA,4,NA,NA,NA,NA,76,TaCRI,firstplant,4,81,NARITA_23    ,23,NARITA_23    ,23,5.666666667,8.333333333,311,2.333333333,2.333333333,0,0,-58.33333333,0,1,31.86666667,9.333333333,33.02333333,3.579,-1.156666667,117.3333333,12.33333333,.,522,.,0.333333333,14.86666667,12.43888889,3.233333333,2.433333333,2.166666667,0,522,365,0.699233716,1111,24.75557727,25.65413221,No,,
