Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
1012,97,Tanzania,Mt_fp,7,2016_Mitalula_87,NARITA 21,87,130358,4,NA,1,5,15,89,Mitalula,firstplant,4,87,NARITA_21    ,21,NARITA_21    ,21,2.1,9.6,303.5,2,2,20.833332,0.6,0,0.5,1,22.58,7.9,22.35,2.799166667,0.23,124.4,15.2,426.6666667,598.7,175.3333333,11.99083333,17.85,13.10833333,3.499666667,2.518,5.016666667,0,598.7,365,0.609654251,1111,15.29401821,15.13823326,No,,
1013,98,Tanzania,Mt_fp,7,2016_Mitalula_88,Cachaco,88,130388,4,1,1,5,16,90,Mitalula,firstplant,4,88,Cachaco      ,32,Cachaco      ,32,5.333333333,12.66666667,280,5.333333333,5.333333333,33.33333,1,0,1,1,11.2,5.666666667,10.06666667,1.786666667,1.133333333,75,12.66666667,528,677.3333333,149.3333333,0.2,17.16666667,15.22222222,4.579444444,3.509444444,5.277777778,0,677.3333333,365,0.538877953,1111,6.705366142,6.026846951,No,,
1014,99,Tanzania,Mt_fp,7,2016_Mitalula_89,NARITA 13,89,130350,4,NA,1,6,9,91,Mitalula,firstplant,4,89,NARITA_13    ,13,NARITA_13    ,13,1.833333333,7.083333333,322.9166667,1.916666667,1.916666667,26.12433833,1,5.654761667,1,1,21.66666667,7.666666667,21.15833333,2.787251984,0.508333333,118.9166667,15.08333333,388.2727273,568.75,180.6363636,0.16,19.31944445,12.5,3.42875,2.572777778,4.416666667,0,568.75,365,0.641758242,1111,15.44819048,15.08575216,No,,
1015,101,Tanzania,Mt_fp,7,2016_Mitalula_90,NARITA 12,90,130330,4,NA,1,6,10,92,Mitalula,firstplant,4,90,NARITA_12    ,12,NARITA_12    ,12,4.875,8,355,3.875,3.875,34.84622875,1,0,1,1,24.8375,7.125,21.9875,3.076845238,2.85,122.625,16.5,359.125,559.75,200.625,0.18125,20.47916667,12.65625,3.703541667,2.907708333,4.1875,0,559.75,365,0.65207682,1111,17.99370936,15.92900592,No,,
1016,102,Tanzania,Mt_fp,7,2016_Mitalula_91,NARITA 11,91,130355,4,NA,1,6,11,93,Mitalula,firstplant,4,91,NARITA_11    ,11,NARITA_11    ,11,3.818181818,9.090909091,374.7272727,4.090909091,4.090909091,29.70362727,1.181818182,2.097901818,1.090909091,1,24.68181818,7.545454545,26.19090909,3.483026696,-1.509090909,140.3636364,18.18181818,369.4545455,566.3636364,196.9090909,13.79242424,20.08333333,12.78030303,3.667878788,2.882575758,4.151515151,0,566.3636364,365,0.644462279,1111,17.67212239,18.75262785,No,,
1017,103,Tanzania,Mt_fp,7,2016_Mitalula_92,NARITA 7,92,130349,4,NA,1,6,12,94,Mitalula,firstplant,4,92,NARITA_07    ,7,NARITA_07    ,7,3,10.81818182,376.8181818,3,3,22.22222091,1.181818182,7.575757273,1.090909091,1,26.16363636,8.363636364,25.13636364,2.987373737,1.027272727,141.0909091,16.45454545,467.3636364,626.8181818,159.4545455,13.8,18.04545455,13.35606061,3.842272727,2.742575758,5.409090909,0,626.8181818,365,0.582306019,1111,16.92635489,16.26176904,No,,
1018,104,Tanzania,Mt_fp,7,2016_Mitalula_93,Mbwazirume,93,130359,4,1,1,6,13,95,Mitalula,firstplant,4,93,Mbwazirume   ,29,Mbwazirume   ,29,3,4,142.5,3,3,37.5,1,0,1,1,10.25,5.5,9.4,1.589285715,0.85,72.5,12,686,796.5,110.5,0.1,15,11.5,2.963333333,1.9725,4.75,0,796.5,365,0.458254865,1111,5.218491839,4.785738858,No,,
1019,105,Tanzania,Mt_fp,7,2016_Mitalula_94,Ndizi Uganda,94,130413,4,1,1,6,14,96,Mitalula,firstplant,4,94,Ndizi_Uganda ,30,Ndizi_Uganda ,30,2.333333333,8.583333333,149.25,2.583333333,2.583333333,31.9444425,0.833333333,0,0.833333333,1,15.18333333,6.75,16.15,2.351488095,-0.966666667,110.8333333,15.83333333,450.8333333,579.3333333,128.5,8.476944445,14.48611111,13.34027778,3.64,2.641388889,4.875,0,579.3333333,365,0.630034522,1111,10.62785285,11.30448892,No,,
1020,106,Tanzania,Mt_fp,7,2016_Mitalula_95,Williams,95,130345,4,NA,1,6,15,0,Mitalula,firstplant,4,95,.,.,NARITA_06    ,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,YES,,
1021,107,Tanzania,Mt_fp,7,2016_Mitalula_96,Gros michel,96,130408,4,1,1,6,16,97,Mitalula,firstplant,4,96,Gros_Michel  ,33,Gros_Michel  ,33,4.25,10.5,288.75,4.25,4.25,35.0694425,1.5,6.25,1.25,1,18.925,7.5,17.75,2.352678571,1.175,125.25,16.5,565.3333333,722.25,158,37.5875,17.08333334,12,3.562083334,2.500833333,5.208333334,0,722.25,365,0.505365178,1111,10.62564399,9.965927657,No,,
