Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Number of functional leaves (shooting),Number of functional leaves (harvest),Bunch weight (kg),Number of hands,Number of fruits in bunch,Average weight of fruit on 3rd and 7th hand (g),Average length of fruit on 3rd and 7th hand (cm),Average diameter of fruit on 3rd and 7th hand (cm),Youngest leaf spotted (shooting),Number standing leaves (shooting),Index of non-spotted leaves (shooting)
SH34369,C,1,SH34369C1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,C,2,SH34369C2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,C,3,SH34369C3,mother,07/04/02,24/09/03,23/12/03,300,65,80,7,6,20.6,9,146,133,15.5,3.7,10,11,81.82
FHIA17,A,1,FHIA17A1,mother,07/04/02,26/09/03,21/01/04,315,54,127,12,1,4.13,7,135,34,8.5,2.7,9,12,81.82
FHIA17,A,2,FHIA17A2,mother,07/04/02,14/10/03,28/03/04,337,53,135,10,0,5.01,7,142,30,8,2.87,10,10,90
FHIA17,A,3,FHIA17A3,mother,07/04/02,01/10/03,15/03/04,312,55,145,12,1,4.51,8,148,25,7.5,2.7,8,12,58.33
FHIA17,B,1,FHIA17B1,mother,07/04/02,11/09/03,13/02/04,330,61,90,13,1,5.49,7,157,24,7.3,2.55,12,13,84.62
FHIA17,B,2,FHIA17B2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,B,3,FHIA17B3,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,C,1,FHIA17C1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA17,C,2,FHIA17C2,mother,07/04/02,NA,NA,NA,NA,63,14,7,6.09,8,118,48,10.5,3.7,12,14,78.57
FHIA17,C,3,FHIA17C3,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,1,FHIA23A1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,A,2,FHIA23A2,mother,NA,NA,NA,250,NA,100,10,NA,NA,NA,NA,NA,NA,NA,6,10,50
FHIA23,A,3,FHIA23A3,mother,NA,NA,NA,285,NA,92,6,NA,NA,NA,NA,NA,NA,NA,5,6,66.67
FHIA23,B,1,FHIA23B1,mother,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,2,FHIA23B2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,B,3,FHIA23B3,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,1,FHIA23C1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,2,FHIA23C2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA23,C,3,FHIA23C3,mother,NA,NA,NA,290,NA,92,8,NA,NA,NA,NA,NA,NA,NA,7,8,75
GrandNaine,A,1,GrandNaineA1,mother,07/04/02,08/12/02,22/03/03,182,36,55,13,0,14.2,8,98,125,21.3,3.9,5,13,30.77
GrandNaine,A,2,GrandNaineA2,mother,07/04/02,23/11/02,11/03/03,178,36,52,14,1,13.38,7,94,130,21,4,6,14,35.71
GrandNaine,A,3,GrandNaineA3,mother,07/04/02,05/12/02,28/03/03,175,38,62,13,0,13.92,8,110,122,20,4,6,13,38.46
Local,A,1,LocalA1,mother,07/04/02,11/12/02,04/04/03,287,41,148,12,4,13.98,6,125,116,13.5,3.9,5,12,33.33
Local,A,2,LocalA2,mother,07/04/02,28/11/02,28/03/03,275,45,155,11,3,13,6,85,150,14.5,4.3,6,11,45.45
Local,A,3,LocalA3,mother,07/04/02,15/11/02,08/03/03,290,42,138,9,5,12.84,6,87,140,14.4,4.3,5,9,44.44
GCTCV215,A,1,GCTCV215A1,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,A,2,GCTCV215A2,mother,07/04/02,23/11/02,21/04/03,225,62,38,10,6,16.92,9,130,122,16.5,4.2,6,10,50
GCTCV215,A,3,GCTCV215A3,mother,07/04/02,20/12/02,10/05/03,218,60,42,9,5,14.85,8,110,138,18.2,4.1,4,9,33.33
GCTCV215,B,1,GCTCV215B1,mother,NA,NA,NA,259,NA,50,7,NA,NA,NA,NA,NA,NA,NA,5,7,57.14
GCTCV215,B,2,GCTCV215B2,mother,NA,NA,NA,240,NA,32,7,NA,NA,NA,NA,NA,NA,NA,5,10,40
GCTCV215,B,3,GCTCV215B3,mother,NA,NA,NA,246,NA,85,7,NA,NA,NA,NA,NA,NA,NA,5,6,66.67
GCTCV215,C,1,GCTCV215C1,mother,07/04/02,08/12/02,24/04/03,213,68,35,10,7,14.71,8,105,150,21,4.2,5,10,40
GCTCV215,C,2,GCTCV215C2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCTCV215,C,3,GCTCV215C3,mother,07/04/02,14/12/02,24/04/03,240,60,48,10,6,19.12,10,146,140,18,4.1,6,10,50
YangambiKm5,A,1,YangambiKm5A1,mother,07/04/02,14/10/03,20/12/03,355,60,112,12,1,5.77,8,165,35,7.8,2.83,12,12,91.67
YangambiKm5,A,2,YangambiKm5A2,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YangambiKm5,A,3,YangambiKm5A3,mother,07/04/02,04/10/03,23/02/04,325,64,108,11,2,6.12,8,189,20,5.5,2.3,12,12,91.67
YangambiKm5,B,1,YangambiKm5B1,mother,07/04/02,NA,NA,380,NA,132,11,NA,NA,NA,NA,NA,NA,NA,9,11,72.73
YangambiKm5,B,2,YangambiKm5B2,mother,07/04/02,11/09/03,21/02/04,310,65,110,13,1,5.27,7,176,22,5.9,2.5,12,13,84.62
YangambiKm5,B,3,YangambiKm5B3,mother,07/04/02,23/11/03,NA,390,NA,190,10,NA,NA,NA,NA,NA,NA,NA,8,10,70
YangambiKm5,C,1,YangambiKm5C1,mother,07/04/02,28/11/03,NA,410,NA,185,12,NA,NA,NA,NA,NA,NA,NA,9,12,66.67
YangambiKm5,C,2,YangambiKm5C2,mother,07/04/02,22/11/03,NA,345,NA,190,11,NA,NA,NA,NA,NA,NA,NA,8,11,63.64
YangambiKm5,C,3,YangambiKm5C3,mother,07/04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,A,1,PisangCeylanA1,ratoon,NA,NA,NA,340,42,110,14,8,19.05,12,216,90,14,4.21,11,14,71.43
PisangCeylan,A,2,PisangCeylanA2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,A,3,PisangCeylanA3,ratoon,NA,NA,NA,362,40,118,12,7,17.58,14,284,55.5,12.5,4,11,12,83.33
PisangCeylan,B,1,PisangCeylanB1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,B,2,PisangCeylanB2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,B,3,PisangCeylanB3,ratoon,NA,NA,NA,405,66,335,12,2,17.21,13,233,57,9.85,3.58,12,12,91.67
PisangCeylan,C,1,PisangCeylanC1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangCeylan,C,2,PisangCeylanC2,ratoon,NA,NA,NA,390,67,235,12,2,11.48,10,147,54.5,11,3.66,9,12,66.67
PisangCeylan,C,3,PisangCeylanC3,ratoon,NA,NA,NA,335,NA,285,12,NA,NA,NA,NA,NA,NA,NA,8,12,58.33
Williams,A,1,WilliamsA1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,A,2,WilliamsA2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,A,3,WilliamsA3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,1,WilliamsB1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,2,WilliamsB2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,B,3,WilliamsB3,ratoon,NA,NA,NA,150,NA,55,14,NA,NA,NA,NA,NA,NA,NA,8,14,50
Williams,C,1,WilliamsC1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Williams,C,2,WilliamsC2,ratoon,NA,NA,NA,160,48,45,13,3,7.64,8,124,65.53,NA,NA,7,13,46.15
Williams,C,3,WilliamsC3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PisangBerlin,A,1,PisangBerlinA1,ratoon,NA,NA,NA,225,29,73,13,7,2.16,5,58,33,8,3.03,10,13,69.23
PisangBerlin,A,2,PisangBerlinA2,ratoon,NA,NA,NA,215,30,68,14,6,2.37,5,58,33.5,7.65,2.95,11,14,71.43
PisangBerlin,A,3,PisangBerlinA3,ratoon,NA,NA,NA,190,30,40,15,6,3.06,7,114,32,8,2.9,9,15,53.33
PisangBerlin,B,1,PisangBerlinB1,ratoon,NA,NA,NA,250,37,70,12,10,5.59,7,115,37,8.5,3.03,10,12,75
PisangBerlin,B,2,PisangBerlinB2,ratoon,NA,NA,NA,245,39,25,13,4,5.28,8,139,33.49,NA,NA,10,13,69.23
PisangBerlin,B,3,PisangBerlinB3,ratoon,NA,NA,NA,255,39,75,12,8,4.81,8,142,30,10,2.87,9,12,66.67
PisangBerlin,C,1,PisangBerlinC1,ratoon,NA,NA,NA,215,NA,55,14,NA,NA,NA,NA,NA,NA,NA,8,14,50
PisangBerlin,C,2,PisangBerlinC2,ratoon,NA,NA,NA,245,27,85,13,8,3.17,6,76,44,11,2.95,10,13,69.23
PisangBerlin,C,3,PisangBerlinC3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,A,1,CultivarRoseA1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,A,2,CultivarRoseA2,ratoon,NA,NA,NA,187,NA,65,12,5,4.64,9,125,30.5,9.5,2.39,8,12,58.33
CultivarRose,A,3,CultivarRoseA3,ratoon,NA,NA,NA,205,27,61,8,2,4.14,11,158,30,10,2.79,5,8,50
CultivarRose,B,1,CultivarRoseB1,ratoon,NA,NA,NA,165,NA,82,11,NA,NA,NA,NA,NA,NA,NA,9,11,72.73
CultivarRose,B,2,CultivarRoseB2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,B,3,CultivarRoseB3,ratoon,NA,NA,NA,175,32,85,9,1,3.2,9,132,20,7.5,1.88,7,9,66.67
CultivarRose,C,1,CultivarRoseC1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CultivarRose,C,2,CultivarRoseC2,ratoon,NA,NA,NA,240,NA,70,7,NA,NA,NA,NA,NA,NA,NA,5,7,57.14
CultivarRose,C,3,CultivarRoseC3,ratoon,NA,NA,NA,242,28,83,8,3,3.32,10,122,29,9.5,2.79,4,5,60
FHIA18,A,1,FHIA18A1,ratoon,NA,NA,NA,315,NA,155,16,NA,NA,NA,NA,NA,NA,NA,15,17,82.35
FHIA18,A,2,FHIA18A2,ratoon,NA,NA,NA,335,NA,285,14,NA,NA,NA,NA,NA,NA,NA,13,14,85.71
FHIA18,A,3,FHIA18A3,ratoon,NA,NA,NA,320,NA,160,15,NA,NA,NA,NA,NA,NA,NA,13,15,80
FHIA18,B,1,FHIA18B1,ratoon,NA,NA,NA,335,NA,110,15,NA,NA,NA,NA,NA,NA,NA,14,15,86.67
FHIA18,B,2,FHIA18B2,ratoon,NA,NA,NA,330,NA,115,13,NA,NA,NA,NA,NA,NA,NA,11,13,76.92
FHIA18,B,3,FHIA18B3,ratoon,NA,NA,NA,260,NA,95,14,NA,NA,NA,NA,NA,NA,NA,12,14,78.57
FHIA18,C,1,FHIA18C1,ratoon,NA,NA,NA,350,NA,160,17,NA,NA,NA,NA,NA,NA,NA,14,17,76.47
FHIA18,C,2,FHIA18C2,ratoon,NA,NA,NA,290,NA,165,14,NA,NA,NA,NA,NA,NA,NA,13,14,85.71
FHIA18,C,3,FHIA18C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B7925,A,1,B7925A1,ratoon,NA,NA,NA,245,NA,40,15,NA,NA,NA,NA,NA,NA,NA,11,15,66.67
B7925,A,2,B7925A2,ratoon,NA,NA,NA,260,NA,140,13,NA,NA,NA,NA,NA,NA,NA,12,13,84.62
B7925,A,3,B7925A3,ratoon,NA,NA,NA,250,NA,100,15,NA,NA,NA,NA,NA,NA,NA,13,15,80
B7925,B,1,B7925B1,ratoon,NA,NA,NA,265,NA,135,14,NA,NA,NA,NA,NA,NA,NA,13,14,85.71
B7925,B,2,B7925B2,ratoon,NA,NA,NA,275,NA,30,15,NA,NA,NA,NA,NA,NA,NA,12,15,73.33
B7925,B,3,B7925B3,ratoon,NA,NA,NA,270,NA,25,14,NA,NA,NA,NA,NA,NA,NA,10,16,56.25
B7925,C,1,B7925C1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B7925,C,2,B7925C2,ratoon,NA,NA,NA,245,NA,63,10,NA,NA,NA,NA,NA,NA,NA,7,10,60
B7925,C,3,B7925C3,ratoon,NA,NA,NA,230,NA,110,10,NA,NA,NA,NA,NA,NA,NA,8,10,70
FHIA25,A,1,FHIA25A1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,A,2,FHIA25A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,A,3,FHIA25A3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,B,1,FHIA25B1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,B,2,FHIA25B2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,B,3,FHIA25B3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,C,1,FHIA25C1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,C,2,FHIA25C2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FHIA25,C,3,FHIA25C3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,A,1,SH34369A1,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,A,2,SH34369A2,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,A,3,SH34369A3,ratoon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SH34369,B,1,SH34369B1,ratoon,NA,NA,NA,NA,NA,60,12,NA,NA,NA,NA,NA,NA,NA,6,12,41.67
