"id","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","rhum_06","rhum_09","rhum_12","rhum_15","rhum_18"
"imtp_2940_mono_c1",5,143,114,31,73.0299987792969,166.14999961853,689.56000328064,224.170001983643,3407.28000092506,9.85281609465507,32.9448486328125,25.5256896972656,24.9758850097656,21.5334411621094,6,179,0,0,7,4,22.3690673828125,31.8067169189453,95.8482459783554,80.6835191845894,74.0987494091193,77.1125099162261,87.6146129568418
"imtp_2940_mono_c2",20,89,39,10,53.7900009155273,102.980000495911,349.859998703003,119.199998855591,1407.89000022411,7.05485148619086,34.7333923339844,25.5778137207031,25.2142883300781,20.0120788574219,7,127,3,0,11,5,22.0509704589844,33.1441467285157,95.9878835370464,78.603373312181,68.9262093805498,71.18634833059,86.0379622367121
"imtp_2941_c1",21,82,56,8,83.2300033569336,138.330002784729,501.600010871887,214.120006561279,2092.84000980854,7.08663336538399,36.1271606445313,24.8343444824219,24.4813781738281,16.5400939941406,8,208,0,0,13,8,21.2861877441406,33.87587890625,95.8946843230516,76.1834961565355,64.9596145610857,66.102096110508,82.0288894253776
"imtp_2941_c2",41,18,5,3,56.7000007629395,82.5500006526709,183.820001602173,97.0400009155273,445.34000146389,5.22555557350732,37.1233154296875,26.3723693847656,24.8912902832031,17.722802734375,10,171,0,0,8,18,20.1366455078125,36.0477905273438,90.3813195965716,65.4307263646149,49.3800974076497,46.0733607610067,66.6080052380401
"imtp_2942",14,28,23,9,197.820007324219,230.000008106232,661.710015296936,424.420017242432,1503.73001813889,7.05342474000605,31.9486633300781,26.2531982421875,25.3486267089844,22.8031555175781,5,53,9,0,5,7,23.6225830078125,30.2413208007813,91.5566004082231,82.9801605417149,71.7170327965769,72.5900655319262,82.4865842993703
"imtp_2957",12,15,20,15,106.470001220703,216.280006408691,673.960012435913,326.500007629395,1264.61001324654,9.43014397978675,28.9283081054688,20.1102233886719,27.078271484375,18.8238464355469,1,0,62,0,8,13,20.6666259765625,27.5970367431641,77.476643863801,74.2963162206834,72.9761463165283,73.7441133191509,76.6857047665504
"imtp_16166_mother_A",49,63,48,24,86.8499984741211,152.859997749329,663.339994430542,255.919998168945,1934.13999581337,11.2649710731139,37.0205932617188,19.749658203125,28.4518676757813,8.59682617187502,7,150,107,0,6,27,12.7339538574219,32.9926818847656,95.6385303708552,74.9529901560432,68.0957067781628,65.5407096042695,77.0737698334436
"imtp_16166_mother_B",49,63,48,24,86.8499984741211,152.859997749329,663.339994430542,255.919998168945,1950.44999599457,11.103954778658,37.0205932617188,19.749658203125,28.4518676757813,8.59682617187502,7,150,107,0,6,27,12.8098846435547,32.9589721679688,95.5987282039234,74.598293220472,67.6043652708425,65.0271069628638,76.584082309555
"imtp_16166_mother_C",49,63,48,24,86.8499984741211,152.859997749329,637.0299949646,209.669998168945,1931.86999583244,11.3081976493474,37.0205932617188,19.749658203125,28.4518676757813,8.59682617187502,7,150,107,0,6,26,12.731820678711,33.0258422851563,95.6291376577841,75.154019987261,68.4390544633608,65.9588706300065,77.3737823383228
"imtp_16167_mother_A",16,46,19,1,45.4700012207031,80.520001411438,198.89999961853,80.1499996185303,877.229999542236,6.16249999648111,36.2710205078125,27.0401245117188,23.9522033691406,21.2206665039063,9,190,0,0,17,7,21.7208190917969,34.4205871582031,95.7980258355991,77.3140928339661,61.697375032417,70.3453078368887,86.6044771819688
"imtp_16167_mother_B",16,51,20,1,45.4700012207031,80.520001411438,210.619999885559,80.1499996185303,910.509999752045,6.1786274489478,36.2710205078125,27.0401245117188,23.9522033691406,21.2206665039063,9,191,0,0,17,6,21.7094818115235,34.4144073486328,95.832366385111,77.4716738879196,61.8976220231715,70.5958485952238,86.7349223625369
"imtp_16167_mother_C",16,40,18,1,45.4700012207031,80.520001411438,193.650000572205,80.0200004577637,828.410000681877,6.07908451140032,36.2710205078125,27.2983032226563,23.9522033691406,21.2206665039063,9,190,0,0,16,7,21.7338134765625,34.4372314453125,95.7548211929646,77.1249408803088,61.2894930900411,70.0144550891633,86.4094015243206
"imtp_16167_mother_D",16,51,20,1,45.4700012207031,80.520001411438,210.619999885559,80.1499996185303,910.509999752045,6.1786274489478,36.2710205078125,27.0401245117188,23.9522033691406,21.2206665039063,9,191,0,0,17,6,21.7094818115235,34.4144073486328,95.832366385111,77.4716738879196,61.8976220231715,70.5958485952238,86.7349223625369
"imtp_16167_mother_E",16,42,18,1,45.4700012207031,80.520001411438,193.650000572205,80.0200004577637,843.26000058651,6.09777778141304,36.2710205078125,27.2983032226563,23.9522033691406,21.2206665039063,9,190,0,0,16,7,21.7240051269531,34.4316833496094,95.7689825774245,77.1877556973872,61.4103335288004,70.1367432638563,86.4863810800802
"imtp_16170_mother_A",13,17,25,10,41.9099998474121,93.0700011253357,451.799998283386,149.049999237061,1363.17999625206,5.44873075568332,33.9731994628906,26.7548767089844,24.8632446289063,21.831201171875,6,265,0,0,17,6,22.9261383056641,31.8495758056641,93.8567607451458,82.5192009867454,70.4658111163548,72.0013562027289,82.117158850845
"imtp_16170_mother_B",13,17,25,10,41.9099998474121,93.0700011253357,451.799998283386,149.049999237061,1337.65999686718,5.49245058138498,33.9731994628906,26.7548767089844,24.8632446289063,21.831201171875,6,257,0,0,17,6,22.9062896728516,31.8339447021485,93.8983150102705,82.5816991716155,70.4866538022825,71.9986395511328,82.1163485262406
"imtp_16170_mother_C",13,17,24,10,41.9099998474121,93.0700011253357,438.06999874115,149.049999237061,1294.7999972105,5.51192621901998,33.9731994628906,26.7548767089844,24.8632446289063,21.831201171875,6,249,0,0,17,6,22.9037628173828,31.8366119384766,93.8822509765625,82.5953908559438,70.4822497084334,71.9421139485127,82.0420762139398
"imtp_16170_mother_D",13,17,24,10,41.9099998474121,93.0700011253357,424.709999084473,149.049999237061,1276.15999746323,5.56327730119854,33.9731994628906,26.7548767089844,24.8632446289063,21.831201171875,6,243,0,0,17,6,22.9020568847656,31.8464263916016,93.8689418368869,82.5589390436808,70.4318455696106,71.8774522781372,81.9070390913222
"imtp_16170_mother_E",13,17,24,10,41.9099998474121,93.0700011253357,438.06999874115,149.049999237061,1294.7999972105,5.51192621901998,33.9731994628906,26.7548767089844,24.8632446289063,21.831201171875,6,249,0,0,17,6,22.9037628173828,31.8366119384766,93.8822509765625,82.5953908559438,70.4822497084334,71.9421139485127,82.0420762139398
"imtp_16176_mother_A",9,55,28,5,32.8600006103516,87.6200022697449,295.620003700256,90.6300029754639,1274.47000300884,5.895000014234,35.6433654785156,20.3028503417969,24.6131530761719,16.9960571289063,7,168,0,0,11,8,20.6426025390625,32.2690063476563,94.0852479221982,69.7229010965476,65.8073091201511,71.5682641433227,82.5004789956524
"imtp_16176_mother_B",9,55,31,6,32.8600006103516,87.6200022697449,323.500003814697,90.6300029754639,1354.46000313759,6.04513159313386,35.6433654785156,20.3028503417969,24.6131530761719,16.9960571289063,7,172,0,0,11,8,20.5365600585938,32.1679077148438,94.1858379377033,70.0954196656523,66.1764078368099,71.8679621960116,82.790784634014
"imtp_16176_mother_C",9,55,28,5,32.8600006103516,87.6200022697449,295.620003700256,90.6300029754639,1263.46000277996,5.89857799496604,35.6433654785156,20.3028503417969,24.6131530761719,16.9960571289063,7,168,0,0,11,8,20.6243530273438,32.2778076171875,94.0699731149981,69.6116403012293,65.7103688093069,71.4628274705675,82.4350240290379
"imtp_16176_mother_D",9,55,29,5,32.8600006103516,87.6200022697449,309.650003433228,90.6300029754639,1296.54000270367,5.92094171659461,35.6433654785156,20.3028503417969,24.6131530761719,16.9960571289063,7,171,0,0,11,8,20.6518310546875,32.1994720458985,94.1542794174618,69.8560682402717,65.8695108625624,71.6428885857264,82.6554013358222
